代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000021,29.21,2.42,0,3052303019.9999995,0.0,4.35,30.16,28.92,28.98,28.52,1.0,-12.57,35.75,33.57,35.75,31.37,0,0,0,0,0
000060,6.13,0.82,0,878499776.0,0.0,2.8,6.26,6.09,6.2,6.08,1.0,-7.82,8.48,7.57,9.22,6.69,0,0,0,0,0
000009,8.88,1.6,0,212750902.99999997,0.0,3.09,8.94,8.67,8.76,8.74,1.0,-1.99,9.75,9.69,11.9,9.61,0,0,0,0,0
000027,7.61,4.1,0,952404511.6666667,0.0,6.84,7.72,7.22,7.25,7.31,1.0,6.14,7.45,7.45,7.45,8.04,0,0,0,0,0
000301,10.8,5.26,0,371188750.66666675,0.0,5.75,10.88,10.29,10.3,10.26,1.0,-5.92,14.7,12.24,14.7,11.29,0,0,0,0,0
000063,33.45,1.61,0,2101533491.0,0.0,2.55,33.84,33.0,33.0,32.92,1.0,-7.72,39.15,38.1,47.77,36.21,0,0,0,0,0
000070,15.86,9.99,1,632961564.0,0.0,6.38,15.86,14.94,14.95,14.42,1.0,-0.19,20.15,18.55,20.15,15.86,0,0,1,1,0
000333,74.8,0.77,0,1379338202.6666667,0.0,1.37,74.97,73.95,74.5,74.23,1.0,-2.93,80.77,77.75,83.17,81.65,0,0,0,0,0
000338,24.52,3.42,0,3232050074.0,0.0,5.1,25.6,24.39,24.81,23.71,1.0,-3.35,30.19,27.82,30.19,26.08,0,0,0,0,0
000032,18.395,1.49,0,536769932.8333333,0.0,4.3,18.925,18.145,18.145,18.125,1.0,1.83,20.95,19.88,24.16,19.94,0,0,0,0,0
000408,76.634,3.08,0,2022746752.8000002,0.0,2.7,77.834,75.824,76.934,74.344,1.0,0.2,87.77,82.8,95.78,81.78,0,0,0,0,0
000155,14.53,2.54,0,882001050.3333334,0.0,4.09,14.74,14.16,14.25,14.17,1.0,3.64,15.87,15.87,15.87,15.59,0,0,0,0,0
000534,41.16,3.6,0,905916122.9999999,0.0,7.17,42.9,40.05,40.49,39.73,1.0,-4.61,49.14,47.62,49.14,43.7,0,0,0,0,0
000539,7.46,10.03,1,1655541581.6666667,0.0,10.77,7.46,6.73,6.92,6.78,1.0,32.98,6.78,6.78,6.78,7.46,1,1,0,2,0
000510,14.8,0.48,0,901805377.0,0.0,6.59,15.69,14.72,15.4,14.73,1.0,-11.06,23.5,20.22,23.5,16.2,0,0,0,0,0
000533,17.25,1.11,0,2731650485.0,0.0,7.5,17.99,16.71,16.71,17.06,1.0,-12.66,21.84,21.84,21.84,18.77,1,0,0,0,0
000066,15.08,2.45,0,1349615742.6666667,0.0,5.23,15.5,14.73,14.73,14.72,1.0,-6.63,17.6,17.6,19.6,16.19,0,0,0,0,0
000551,13.4,1.98,0,168532597.33333334,0.0,4.87,13.8,13.16,13.21,13.14,1.0,-3.87,15.48,14.88,18.35,14.45,0,0,0,0,0
000630,5.86,1.74,0,2322658477.0000005,0.0,2.6,5.98,5.83,5.9,5.76,1.0,-9.15,8.63,7.34,9.14,6.34,0,0,0,0,0
000603,38.34,4.87,0,1389505315.3333335,0.0,4.18,39.53,38.0,38.51,36.56,1.0,-10.65,56.84,48.54,73.47,40.22,0,0,0,0,0
000657,49.55,-0.38,0,4044394466.666667,0.0,6.05,51.78,48.77,51.14,49.74,1.0,-8.98,71.5,69.2,71.5,54.71,0,0,0,0,0
000636,20.15,0.25,0,1096258186.6666665,0.0,3.73,20.65,19.9,20.3,20.1,1.0,-10.44,27.5,24.44,27.5,22.11,0,0,0,0,0
000547,27.07,0.52,0,4833524733.333333,0.0,2.86,27.45,26.68,26.7,26.93,1.0,-13.79,34.3,34.0,40.65,29.62,0,0,0,0,0
000426,40.15,4.97,0,4062552110.0,0.0,4.97,41.8,39.9,40.5,38.25,1.0,-9.0,60.47,52.0,74.8,42.08,0,0,0,0,0
000570,5.578,2.95,0,81149066.33333334,0.0,3.32,5.588,5.408,5.478,5.418,1.0,-6.06,6.43,6.32,6.43,5.96,0,0,0,0,0
000725,3.934,-0.25,0,1734066296.4666665,0.0,1.52,3.984,3.924,3.974,3.944,1.0,-5.07,4.53,4.41,4.67,4.34,0,0,0,0,0
000678,11.73,0.6,0,121687758.33333333,0.0,2.06,11.78,11.54,11.66,11.66,1.0,-3.93,13.85,13.04,16.74,12.83,0,0,0,0,0
000685,10.82,1.12,0,158412306.0,0.0,2.34,10.9,10.65,10.74,10.7,1.0,-7.04,12.21,11.91,13.74,11.77,0,0,0,0,0
000688,37.57,5.15,0,1458050880.0,0.0,4.67,37.82,36.15,36.7,35.73,1.0,15.49,38.12,38.12,38.12,39.3,1,1,0,0,0
000733,46.11,1.25,0,466736430.3333334,0.0,1.32,46.28,45.68,45.74,45.54,1.0,-6.49,58.9,53.37,59.87,50.09,0,0,0,0,0
000695,12.89,-2.42,0,220591205.99999997,0.0,3.56,13.26,12.79,13.2,13.21,1.0,-7.6,15.5,15.5,19.25,14.53,0,0,0,0,0
000737,13.32,1.68,0,659116527.3333334,0.0,2.29,13.52,13.22,13.39,13.1,1.0,-7.56,18.9,16.39,21.5,14.41,0,0,0,0,0
000665,4.99,3.74,0,99126534.00000001,0.0,4.78,5.03,4.8,4.81,4.81,1.0,-4.95,5.55,5.45,7.21,5.29,0,0,0,0,0
