代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000155,17.3,4.22,0,1841453988.0000002,0.0,5.78,17.46,16.5,16.54,16.6,1.0,7.45,18.2,18.2,18.2,18.26,1,0,0,0,0
000009,8.94,0.56,0,188119374.99999997,0.0,2.14,9.0,8.81,8.83,8.89,1.0,6.05,9.69,9.14,11.9,9.78,0,0,0,0,0
000032,18.055,1.06,0,260978337.66666666,0.0,3.58,18.275,17.635,17.665,17.865,1.0,5.49,19.88,19.62,24.16,19.65,0,0,0,0,0
000060,6.35,1.11,0,414647566.66666675,0.0,2.71,6.37,6.2,6.24,6.28,1.0,6.01,7.57,6.44,9.22,6.91,0,0,0,0,0
000063,35.72,-0.2,0,3288308736.0000005,0.0,2.51,36.2,35.3,35.52,35.79,1.0,11.35,37.22,36.17,47.77,39.37,0,0,0,0,0
000027,6.7,1.06,0,184842286.66666666,0.0,1.36,6.72,6.63,6.64,6.63,1.0,1.52,8.48,8.48,8.48,7.29,0,0,0,0,0
000021,28.03,0.54,0,1699400469.3333335,0.0,2.4,28.24,27.57,27.57,27.88,1.0,10.22,33.57,28.44,35.75,30.67,0,0,0,0,0
000066,15.39,2.19,0,1496478000.3333333,0.0,3.59,15.77,15.23,15.27,15.06,1.0,8.46,16.97,15.5,19.6,16.57,0,0,0,0,0
000333,75.78,-0.82,0,1385016541.6666667,0.0,1.16,76.47,75.58,76.03,76.41,1.0,-0.75,77.84,77.84,83.17,84.05,0,0,0,0,0
000338,26.88,-0.44,0,2659165842.6666665,0.0,4.67,27.23,25.97,26.3,27.0,1.0,7.09,27.2,27.2,30.19,29.7,0,0,0,0,0
000408,80.844,-0.93,0,1024314029.1999999,0.0,2.11,82.184,80.464,81.794,81.604,1.0,1.18,83.75,83.75,95.78,89.76,0,0,0,0,0
000510,14.51,-1.02,0,510348960.00000006,0.0,2.93,14.74,14.31,14.31,14.66,1.0,3.72,18.19,15.85,23.5,16.13,0,0,0,0,0
000539,5.54,3.17,0,516965719.99999994,0.0,4.84,5.56,5.3,5.33,5.37,1.0,3.75,8.14,7.46,8.14,5.91,0,0,0,0,0
000533,14.74,0.82,0,902908413.3333333,0.0,3.42,14.85,14.35,14.5,14.62,1.0,7.28,21.84,15.54,21.84,16.08,0,0,0,0,0
000534,45.98,0.66,0,1878638831.9999998,0.0,6.79,46.6,43.5,44.86,45.68,1.0,23.9,45.68,45.68,49.14,50.25,1,1,0,0,0
000070,21.1,6.78,0,3835720811.9999995,0.0,14.42,21.73,18.88,19.11,19.76,1.0,12.96,20.99,20.99,20.99,21.74,1,0,0,0,0
000547,26.42,-0.26,0,2291017386.6666665,0.0,2.49,26.8,26.14,26.14,26.49,1.0,2.48,32.35,29.78,40.65,29.14,0,0,0,0,0
000551,14.2,1.21,0,231845075.0,0.0,3.49,14.32,13.83,13.96,14.03,1.0,11.64,14.52,14.32,18.35,15.43,1,0,0,0,0
000570,5.718,0.53,0,43465850.93333333,0.0,1.76,5.728,5.628,5.678,5.688,1.0,8.75,6.24,5.91,6.43,6.26,0,0,0,0,0
000426,42.72,-1.34,0,1698769072.0,0.0,1.85,43.0,42.2,42.93,43.3,1.0,8.37,49.46,44.49,74.8,47.63,1,0,0,0,0
000603,40.72,0.82,0,550178463.0,0.0,2.95,41.0,39.81,40.01,40.39,1.0,5.77,46.68,42.37,73.47,44.43,0,0,0,0,0
000636,20.49,2.66,0,1121717705.0,0.0,4.51,20.68,19.78,19.81,19.96,1.0,10.1,22.98,20.41,27.5,21.96,0,0,0,0,0
000665,4.77,0.21,0,46978234.666666664,0.0,2.31,4.79,4.68,4.75,4.76,1.0,2.14,5.45,5.09,7.21,5.24,0,0,0,0,0
000678,12.68,-2.54,0,238052610.0,0.0,2.46,12.87,12.55,12.85,13.01,1.0,-3.57,14.44,14.44,16.74,14.31,1,0,0,0,0
000685,11.03,-0.18,0,115682229.66666669,0.0,1.63,11.14,10.96,11.0,11.05,1.0,3.18,11.91,11.42,13.74,12.16,0,0,0,0,0
000695,13.96,3.79,0,269615185.0,0.0,5.87,14.1,13.31,13.31,13.45,1.0,19.01,15.5,14.8,19.25,14.79,1,0,0,0,0
000657,48.35,-1.29,0,3073709179.9999995,0.0,4.8,49.3,46.95,48.3,48.98,1.0,4.5,59.7,50.22,71.5,53.88,0,0,0,0,0
000630,6.18,2.32,0,1587081141.3333333,0.0,3.31,6.2,6.0,6.01,6.04,1.0,8.42,7.15,6.15,9.14,6.64,0,0,0,0,0
000688,45.0,10.02,1,1166168355.3333335,0.0,11.56,45.0,40.27,40.27,40.9,1.0,12.81,43.45,43.45,43.45,44.99,0,0,1,1,0
000725,3.974,-0.25,0,1604007230.3999999,0.0,1.26,3.984,3.934,3.954,3.984,1.0,2.58,4.39,4.02,4.67,4.38,0,0,0,0,0
000733,46.36,0.17,0,325117845.99999994,0.0,1.71,46.75,45.96,46.01,46.28,1.0,5.36,50.81,46.78,59.87,50.91,0,0,0,0,0
000751,5.34,0.95,0,140651903.33333334,0.0,1.89,5.35,5.25,5.27,5.29,1.0,4.5,6.36,5.5,7.81,5.82,0,0,0,0,0
000758,6.73,0.3,0,162909103.33333334,0.0,1.64,6.76,6.65,6.7,6.71,1.0,5.65,7.83,6.87,9.53,7.38,0,0,0,0,0
000779,8.81,-0.23,0,44842240.0,0.0,1.93,8.9,8.73,8.81,8.83,1.0,3.65,9.85,9.19,10.96,9.71,0,0,0,0,0
000737,13.85,0.95,0,454916554.66666657,0.0,2.04,13.88,13.6,13.62,13.72,1.0,7.7,16.01,13.88,21.5,15.09,0,0,0,0,0
000762,33.66,-0.65,0,3125621333.333333,0.0,5.67,35.38,33.46,34.2,33.88,1.0,11.13,33.88,33.88,33.88,37.27,1,1,0,0,0
000811,18.6,-0.32,0,429390465.3333333,0.0,2.89,18.68,18.14,18.29,18.66,1.0,11.11,19.75,19.25,22.08,20.53,1,0,0,0,0
000807,33.981,-0.7,0,1649990641.933333,0.0,3.04,34.421,33.381,34.111,34.221,1.0,7.5,36.12,35.4,37.85,37.64,1,0,0,0,0
000818,15.09,2.37,0,782336349.6666666,0.0,4.21,15.15,14.53,14.54,14.74,1.0,-21.77,24.92,21.98,25.9,16.21,0,0,0,0,0
000790,4.03,-1.47,0,74063743.0,0.0,2.93,4.09,3.97,4.08,4.09,1.0,0.0,4.33,4.33,4.79,4.5,0,0,0,0,0
000837,10.78,0.47,0,80656336.99999999,0.0,1.58,10.79,10.62,10.62,10.73,1.0,6.63,12.53,10.87,13.7,11.8,0,0,0,0,0
000833,23.44,-1.1,0,1110985989.3333335,0.0,6.96,24.02,22.37,23.82,23.7,1.0,-0.51,30.13,27.37,30.13,26.07,0,0,0,0,0
000887,18.43,-0.54,0,212254335.0,0.0,1.3,18.58,18.34,18.35,18.53,1.0,5.68,19.79,18.77,24.1,20.38,0,0,0,0,0
000901,22.55,0.62,0,348912051.6666667,0.0,2.32,22.73,22.21,22.32,22.41,1.0,5.92,24.18,23.15,35.4,24.65,0,0,0,0,0
000878,18.76,1.85,0,755402228.0,0.0,2.93,18.82,18.28,18.35,18.42,1.0,9.26,23.24,18.8,29.24,20.26,0,0,0,0,0
000823,15.01,4.16,0,540881250.0000001,0.0,7.43,15.22,14.15,14.25,14.41,1.0,20.56,16.13,14.65,16.6,15.85,0,0,0,0,0
000923,18.09,-0.11,0,221600488.00000003,0.0,2.1,18.18,17.8,18.01,18.11,1.0,5.48,21.05,18.51,26.38,19.92,0,0,0,0,0
000933,32.536,-1.09,0,1583887843.2666664,0.0,3.13,33.056,32.026,32.516,32.896,1.0,8.58,38.69,34.35,38.69,36.19,0,0,0,0,0
000938,28.175,4.26,0,6050639373.666667,0.0,6.73,28.555,26.735,26.865,27.025,1.0,10.25,27.7,27.7,28.23,29.73,0,0,0,0,0
000967,10.63,3.81,0,1894679096.0,0.0,6.35,10.88,10.23,10.45,10.24,1.0,17.98,10.45,10.45,10.45,11.26,0,0,0,0,0
000983,6.5,0.31,0,250860193.3333333,0.0,1.54,6.54,6.44,6.49,6.48,1.0,0.78,7.62,7.22,7.7,7.13,0,0,0,0,0
001203,42.67,10.0,1,1675396940.0,0.0,12.06,42.67,37.99,38.0,38.79,1.0,7.24,44.8,44.8,44.8,42.67,0,0,1,1,0
000975,30.22,0.37,0,690918386.6666666,0.0,3.19,30.77,29.81,30.09,30.11,1.0,2.37,33.37,31.81,41.81,33.12,0,0,0,0,0
001212,48.76,-3.52,0,274513064.0,0.0,3.5,50.32,48.55,50.02,50.54,1.0,-0.31,55.66,53.1,58.25,55.59,0,0,0,0,0
001223,36.832,-2.92,0,40687844.6,0.0,3.2,37.882,36.668,37.789,37.939,1.0,-2.14,40.06,40.06,45.2,41.73,0,0,0,0,0
000960,32.38,-0.71,0,965991918.6666665,0.0,1.78,32.59,32.01,32.03,32.61,1.0,7.79,38.51,33.33,48.55,35.87,0,0,0,0,0
000988,124.912,7.99,0,13576257181.2,0.0,8.94,124.952,114.612,114.612,115.672,1.0,20.93,126.55,117.6,141.16,127.24,0,0,0,0,0
001270,128.93,5.01,0,785962962.6666667,0.0,6.61,128.93,120.82,120.82,122.78,1.0,13.71,127.58,127.58,167.17,135.06,0,0,0,0,0
001257,23.21,2.65,0,839445155.9999999,0.0,4.38,23.66,22.67,22.67,22.61,1.0,4.27,30.0,30.0,30.0,24.87,0,0,0,0,0
001301,71.62,-3.71,0,577930482.6666667,0.0,4.17,74.6,71.5,73.8,74.38,1.0,1.98,89.0,81.18,109.7,81.82,0,0,0,0,0
001306,66.2,-1.43,0,48481628.0,0.0,2.67,66.98,65.19,66.51,67.16,1.0,1.61,72.98,69.0,93.48,73.88,0,0,0,0,0
000792,38.56,3.07,0,4083165734.9999995,0.0,5.0,38.58,36.71,37.4,37.41,1.0,6.37,40.9,39.98,40.9,41.15,0,0,0,0,0
001339,64.3,0.33,0,340614094.0,0.0,4.38,65.79,62.98,63.4,64.09,1.0,9.88,76.65,65.38,80.0,70.5,0,0,0,0,0
001359,77.0,1.52,0,199219029.3333333,0.0,4.25,78.47,75.25,75.8,75.85,1.0,7.9,76.91,76.66,85.44,83.44,0,0,0,0,0
000973,19.348,6.85,0,1194599892.0000002,0.0,9.28,19.498,17.818,17.928,18.108,1.0,11.46,19.74,19.74,19.74,19.92,0,0,0,0,0
002004,4.881,-3.56,0,182184305.23333332,0.0,3.36,5.021,4.851,5.011,5.061,1.0,-0.81,5.47,5.2,5.83,5.57,0,0,0,0,0
002009,24.7,0.0,0,426401544.6666666,0.0,1.86,24.79,24.33,24.43,24.7,1.0,4.79,26.79,25.63,38.0,27.17,0,0,0,0,0
002029,10.04,-0.79,0,106940521.33333331,0.0,2.57,10.22,9.96,10.16,10.12,1.0,6.47,10.79,10.79,14.85,11.13,0,0,0,0,0
001379,21.3,0.14,0,23308530.666666664,0.0,0.94,21.33,21.13,21.27,21.27,1.0,4.87,23.5,21.69,26.75,23.4,0,0,0,0,0
002025,77.36,1.48,0,2720732690.666667,0.0,6.18,81.01,76.3,76.3,76.23,1.0,27.55,78.22,78.22,78.22,83.85,1,0,0,0,0
002031,6.19,0.32,0,155005165.33333334,0.0,1.94,6.2,6.08,6.1,6.17,1.0,6.17,7.6,6.45,8.82,6.79,0,0,0,0,0
002042,4.499,0.67,0,202312537.99999997,0.0,2.69,4.539,4.419,4.489,4.469,1.0,10.03,4.68,4.68,5.01,4.92,1,0,0,0,0
002028,200.55,-4.65,0,3206461280.0,0.0,4.92,208.5,198.15,207.4,210.33,1.0,-4.28,220.47,213.03,239.12,231.36,0,0,0,0,0
002049,70.27,1.28,0,1056403750.0,0.0,3.07,70.68,68.55,68.69,69.38,1.0,8.24,74.95,70.36,91.99,76.32,0,0,0,0,0
002050,44.45,-0.94,0,2686803840.0,0.0,1.63,44.74,44.01,44.2,44.87,1.0,6.09,48.35,45.85,60.77,49.36,0,0,0,0,0
002046,46.064,-2.68,0,620442132.4,0.0,3.91,47.854,46.004,46.684,47.334,1.0,8.86,50.0,48.5,55.32,52.07,1,0,0,0,0
002074,39.5,1.78,0,5365328083.333333,0.0,2.58,39.5,38.5,38.8,38.81,1.0,18.05,39.5,38.81,45.07,42.69,1,1,0,0,0
002006,17.9,0.73,0,99894117.33333331,0.0,1.52,17.95,17.68,17.68,17.77,1.0,6.87,20.1,17.9,25.05,19.55,0,0,0,0,0
002068,8.46,0.59,0,111798570.00000001,0.0,2.26,8.54,8.35,8.45,8.41,1.0,3.3,11.03,9.21,11.5,9.25,1,0,0,0,0
001389,132.0,4.09,0,1698873148.0,0.0,5.57,133.67,126.61,126.62,126.81,1.0,12.92,133.7,133.7,133.7,139.49,1,0,0,0,0
002077,15.86,1.28,0,271286105.99999994,0.0,3.58,16.08,15.52,15.55,15.66,1.0,8.04,17.42,17.15,20.39,17.23,0,0,0,0,0
002079,9.79,1.66,0,183811213.6666667,0.0,2.91,9.8,9.52,9.55,9.63,1.0,6.07,10.51,9.75,12.3,10.59,0,0,0,0,0
002080,49.706,10.1,1,3070709992.066667,0.0,11.39,49.706,44.566,44.566,45.146,1.0,26.52,46.57,45.95,53.14,49.66,0,0,1,1,0
002081,3.23,0.31,0,45356276.0,0.0,1.55,3.24,3.19,3.21,3.22,1.0,2.87,3.57,3.3,3.83,3.54,0,0,0,0,0
002108,4.94,2.07,0,359281745.3333334,0.0,3.31,4.95,4.79,4.8,4.84,1.0,6.7,5.22,5.03,5.65,5.32,0,0,0,0,0
002121,7.71,-0.64,0,160032873.0,0.0,1.29,7.78,7.68,7.77,7.76,1.0,4.9,9.95,8.5,10.74,8.54,0,0,0,0,0
002083,12.923,3.11,0,998941842.9000001,0.0,4.07,12.953,12.443,12.523,12.533,1.0,11.67,12.79,12.79,14.46,13.79,1,0,0,0,0
002126,47.122,3.04,0,1632390465.6000001,0.0,6.89,47.962,44.812,45.382,45.732,1.0,13.32,48.08,46.21,55.71,50.31,0,0,0,0,0
