代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000060,6.09,-2.25,0,413835375.3333333,0.0,3.05,6.22,6.03,6.21,6.23,1.0,0.5,7.99,6.5,9.22,6.85,0,0,0,0,0
000301,11.04,1.38,0,259943434.66666666,0.0,2.75,11.11,10.81,10.88,10.89,1.0,4.05,13.76,11.47,14.7,11.98,0,0,0,0,0
000066,14.43,-2.83,0,741242376.0,0.0,3.3,14.8,14.31,14.8,14.85,1.0,-6.36,17.6,16.47,19.6,16.34,0,0,0,0,0
000063,32.05,-2.85,0,1714385250.6666665,0.0,3.0,32.91,31.92,32.79,32.99,1.0,-1.93,38.3,35.81,47.77,36.29,0,0,0,0,0
000032,17.475,-4.38,0,432038454.5,0.0,4.27,18.155,17.375,18.085,18.275,1.0,-5.05,20.27,19.88,24.16,20.1,0,0,0,0,0
000021,25.43,-3.86,0,1631672904.0,0.0,6.01,26.87,25.28,26.79,26.45,1.0,-8.0,33.57,33.48,35.75,29.1,0,0,0,0,0
000009,8.66,-1.81,0,157715340.0,0.0,2.72,8.84,8.6,8.77,8.82,1.0,-2.37,9.69,9.14,11.9,9.7,0,0,0,0,0
000070,19.37,4.99,0,3870963930.6666665,0.0,13.71,20.3,17.77,17.82,18.45,1.0,24.49,19.85,19.05,20.15,20.3,1,0,0,0,0
000155,16.97,9.98,1,1472047150.0,0.0,10.95,16.97,15.28,15.67,15.43,1.0,15.52,17.7,17.7,17.7,16.97,1,0,1,1,0
000333,77.37,0.69,0,2521241640.6666665,0.0,1.64,77.84,76.58,76.85,76.84,1.0,4.1,77.75,77.4,83.17,84.52,0,0,0,0,0
000408,80.754,0.09,0,1000436921.4666668,0.0,2.89,81.714,79.384,80.604,80.684,1.0,5.82,82.8,81.35,95.78,88.75,0,0,0,0,0
000338,25.35,0.2,0,2109825977.3333333,0.0,2.65,25.8,25.13,25.4,25.3,1.0,6.6,28.89,25.6,30.19,27.83,0,0,0,0,0
000539,5.61,-4.1,0,693856278.6666666,0.0,5.47,5.9,5.58,5.77,5.85,1.0,-25.1,8.14,8.14,8.14,6.44,1,0,0,0,0
000426,39.96,-3.83,0,2145119231.666667,0.0,3.54,40.97,39.5,40.81,41.55,1.0,2.2,52.96,42.7,74.8,45.7,0,0,0,0,0
000533,14.12,-3.95,0,929543918.3333334,0.0,6.33,14.94,14.01,14.66,14.7,1.0,-9.08,21.84,20.18,21.84,16.17,0,0,0,0,0
000547,27.03,-2.91,0,3388372591.666667,0.0,4.67,28.21,26.91,27.79,27.84,1.0,-3.98,34.3,31.33,40.65,30.62,0,0,0,0,0
000551,13.07,-2.83,0,84952081.66666666,0.0,3.57,13.48,13.0,13.3,13.45,1.0,-0.83,14.88,13.8,18.35,14.79,0,0,0,0,0
