代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000301,12.45,-2.43,0,291265848.0,0.0,2.9,12.78,12.41,12.65,12.76,1.0,6.59,12.91,12.91,14.7,14.04,0,0,0,0,0
000027,7.33,0.55,0,493645175.0,0.0,6.04,7.68,7.24,7.26,7.29,1.0,0.83,8.45,8.14,8.48,8.02,0,0,0,0,0
000070,19.49,3.62,0,2568344206.9999995,0.0,4.68,19.88,19.0,19.37,18.81,1.0,-0.2,20.64,20.38,22.5,20.69,1,1,0,0,0
000063,38.0,2.1,0,8020865001.333334,0.0,5.19,38.48,36.55,36.9,37.22,1.0,-2.91,41.3,41.3,47.77,40.94,0,0,0,0,0
000032,22.89,10.0,1,2248806922.9999995,0.0,9.13,22.89,20.99,21.47,20.81,1.0,47.3,21.32,20.81,24.16,22.89,1,1,0,4,0
000021,40.77,3.29,0,6349847200.000002,0.0,4.05,41.34,39.74,39.75,39.47,1.0,15.99,46.81,40.55,46.81,43.42,0,0,0,0,0
000060,8.02,1.26,0,2135601795.0,0.0,4.17,8.15,7.82,7.92,7.92,1.0,12.01,8.44,8.44,9.22,8.71,0,0,0,0,0
000066,16.6,2.53,0,2373087363.9999995,0.0,4.57,16.7,15.96,16.2,16.19,1.0,2.47,22.4,18.65,25.74,17.81,0,0,0,0,0
000155,13.46,0.07,0,401198165.3333333,0.0,3.42,13.62,13.16,13.36,13.45,1.0,2.05,16.25,14.46,19.34,14.79,0,0,0,0,0
000009,7.08,1.58,0,271451376.0,0.0,4.02,7.14,6.86,6.98,6.97,1.0,0.71,8.03,7.5,11.9,7.67,0,0,0,0,0
000333,78.96,-2.43,0,3301288463.0,0.0,3.0,80.99,78.56,80.97,80.93,1.0,-4.13,85.9,85.9,85.9,89.02,0,0,0,0,0
000338,28.11,-4.32,0,3542824815.0,0.0,6.26,29.58,27.74,29.18,29.38,1.0,-7.38,36.34,34.38,36.34,32.32,0,0,0,0,0
000408,76.34,-6.74,0,1385915592.6666667,0.0,6.49,81.54,76.23,81.48,81.86,1.0,1.38,84.59,83.6,95.78,90.05,0,0,0,0,0
000426,40.01,-0.62,0,2540212612.0,0.0,2.91,40.67,39.5,39.7,40.26,1.0,10.74,43.94,43.15,74.8,44.29,0,0,0,0,0
000539,7.71,2.39,0,1182620203.3333333,0.0,5.58,7.88,7.46,7.54,7.53,1.0,-5.05,9.82,9.82,9.82,8.28,0,0,0,0,0
000547,19.96,0.2,0,2451477233.333333,0.0,3.51,20.5,19.8,20.2,19.92,1.0,2.41,25.39,21.49,40.65,21.91,1,0,0,0,0
000534,29.75,-2.52,0,527125684.99999994,0.0,3.15,30.63,29.67,30.36,30.52,1.0,-6.83,39.22,34.25,49.14,33.57,0,0,0,0,0
000551,15.39,-2.1,0,306809900.6666666,0.0,1.84,15.56,15.27,15.56,15.72,1.0,2.4,18.05,15.72,18.35,17.29,0,0,0,0,0
000570,5.19,-0.57,0,58445319.00000001,0.0,2.68,5.22,5.08,5.22,5.22,1.0,-2.81,6.49,5.72,6.93,5.74,0,0,0,0,0
000603,27.71,-10.0,0,477328660.00000006,0.0,3.41,28.76,27.71,28.32,30.79,1.0,0.87,34.6,31.94,73.47,33.87,0,0,0,0,0
000533,11.24,1.35,0,335536950.0,0.0,5.32,11.4,10.81,11.05,11.09,1.0,1.44,14.35,12.69,21.84,12.2,0,0,0,0,0
000636,70.61,8.58,0,12576402682.666666,0.0,5.43,71.53,68.0,68.24,65.03,1.0,15.6,66.5,66.5,66.5,71.53,1,1,0,0,0
000630,7.57,-1.17,0,6215632741.999999,0.0,3.92,7.68,7.38,7.56,7.66,1.0,21.12,7.71,7.71,9.14,8.43,1,0,0,0,0
000678,10.05,1.82,0,175603090.0,0.0,8.21,10.35,9.54,9.85,9.87,1.0,-13.36,13.29,12.24,16.74,10.86,0,0,0,0,0
000657,92.5,6.44,0,11311692848.333332,0.0,5.9,94.14,89.01,89.48,86.9,1.0,30.65,86.9,86.9,86.9,95.59,1,1,0,0,0
000685,11.07,1.0,0,237160190.0,0.0,3.65,11.19,10.79,10.9,10.96,1.0,6.75,13.22,11.54,13.74,12.06,0,0,0,0,0
000688,41.77,-8.4,0,1600546026.6666667,0.0,4.93,44.0,41.75,44.0,45.6,1.0,-0.78,49.5,49.5,52.73,50.16,1,0,0,0,0
000733,56.34,8.6,0,4980284920.333333,0.0,7.07,57.07,53.4,53.79,51.88,1.0,7.95,61.77,61.77,61.77,57.07,1,1,0,0,0
000725,6.044,3.07,0,15636110672.800001,0.0,6.31,6.174,5.804,5.874,5.864,1.0,-6.5,6.71,6.71,6.71,6.45,1,0,0,0,0
000762,30.38,-0.59,0,758164608.6666667,0.0,4.74,30.8,29.35,29.97,30.56,1.0,9.32,33.2,31.35,41.43,33.62,0,0,0,0,0
000695,13.15,1.31,0,141645258.0,0.0,3.31,13.35,12.92,13.04,12.98,1.0,-0.9,16.8,15.56,19.25,14.28,0,0,0,0,0
000751,5.26,-2.41,0,476562727.00000006,0.0,2.04,5.32,5.21,5.3,5.39,1.0,13.36,5.84,5.61,7.81,5.93,1,0,0,0,0
000758,7.11,-1.52,0,582205680.0000001,0.0,2.35,7.18,7.01,7.1,7.22,1.0,11.27,7.27,7.27,9.53,7.94,1,0,0,0,0
000510,22.95,7.7,0,2775889048.0,0.0,9.06,23.28,21.35,22.0,21.31,1.0,36.61,21.31,21.31,23.5,23.44,1,1,0,0,0
000779,7.73,0.52,0,65275206.00000001,0.0,4.55,7.74,7.39,7.7,7.69,1.0,2.38,8.14,7.94,10.96,8.46,0,0,0,0,0
000792,31.15,-2.75,0,3277172272.666667,0.0,3.09,31.79,30.8,31.65,32.03,1.0,5.59,33.47,32.78,41.6,35.23,0,0,0,0,0
000737,14.71,-2.32,0,1131245840.0,0.0,1.93,14.95,14.66,14.8,15.06,1.0,12.46,15.29,15.29,21.5,16.57,1,0,0,0,0
000790,3.7,-0.54,0,56492857.333333336,0.0,3.76,3.76,3.62,3.75,3.72,1.0,0.0,4.48,3.97,4.79,4.09,0,0,0,0,0
000807,25.38,-5.65,0,3127795696.9999995,0.0,4.05,26.4,25.31,26.4,26.9,1.0,-3.94,31.78,30.48,37.85,29.59,0,0,0,0,0
000823,20.1,0.05,0,2226139725.3333335,0.0,5.33,20.67,19.6,19.87,20.09,1.0,8.06,20.33,20.33,20.33,22.1,1,1,0,0,0
000811,33.2,-1.92,0,1736080255.9999998,0.0,6.26,34.78,32.66,34.46,33.85,1.0,3.3,38.46,33.85,38.46,37.24,1,1,0,0,0
