代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000155,16.6,-3.32,0,2144818700.6666667,0.0,6.64,17.64,16.5,16.6,17.17,1.0,-2.18,18.2,18.2,18.2,18.89,1,0,0,0,0
000032,17.865,1.19,0,385261584.50000006,0.0,3.23,18.295,17.725,17.835,17.655,1.0,2.23,19.88,19.62,24.16,19.42,0,0,0,0,0
000060,6.28,-0.32,0,513787743.00000006,0.0,2.7,6.44,6.27,6.35,6.3,1.0,3.12,7.57,6.44,9.22,6.93,0,0,0,0,0
000009,8.89,2.54,0,251374464.0,0.0,3.11,8.97,8.7,8.71,8.67,1.0,2.66,9.69,9.14,11.9,9.54,0,0,0,0,0
000021,27.88,1.46,0,2188881443.6666665,0.0,2.37,28.44,27.79,27.99,27.48,1.0,9.63,33.57,28.71,35.75,30.23,0,0,0,0,0
000301,11.52,2.86,0,309765855.99999994,0.0,4.29,11.6,11.12,11.2,11.2,1.0,4.35,12.24,11.57,14.7,12.32,0,0,0,0,0
000070,19.76,-5.36,0,3672514590.0000005,0.0,7.47,20.99,19.43,20.88,20.88,1.0,2.01,20.88,20.88,20.88,22.97,1,1,0,0,0
000027,6.63,-0.15,0,202622276.66666666,0.0,1.2,6.71,6.63,6.65,6.64,1.0,-2.21,8.48,8.48,8.48,7.3,0,0,0,0,0
000063,35.79,0.65,0,4448608092.0,0.0,2.73,36.17,35.2,35.5,35.56,1.0,11.67,38.1,35.9,47.77,39.12,0,0,0,0,0
000066,15.06,1.07,0,1174384524.0,0.0,3.02,15.5,15.05,15.18,14.9,1.0,4.37,17.6,16.47,19.6,16.39,0,0,0,0,0
000408,81.604,-1.19,0,817794411.7333332,0.0,2.55,83.494,81.384,82.934,82.584,1.0,1.05,83.75,83.75,95.78,90.84,0,0,0,0,0
000333,76.41,-0.14,0,1974055844.3333335,0.0,0.89,76.74,76.06,76.52,76.52,1.0,-1.24,77.84,77.84,83.17,84.17,0,0,0,0,0
000338,27.0,3.93,0,3403350410.0,0.0,4.2,27.2,26.11,26.55,25.98,1.0,6.51,26.55,26.28,30.19,28.58,0,0,0,0,0
000533,14.62,0.55,0,1123426427.0,0.0,4.75,15.08,14.39,14.76,14.54,1.0,3.54,21.84,17.06,21.84,15.99,0,0,0,0,0
000539,5.37,-0.74,0,324536087.3333334,0.0,2.22,5.48,5.36,5.45,5.41,1.0,-4.28,8.14,8.14,8.14,5.95,0,0,0,0,0
000570,5.688,1.61,0,53907992.53333333,0.0,2.86,5.778,5.618,5.638,5.598,1.0,2.52,6.28,5.91,6.43,6.16,0,0,0,0,0
000426,43.3,-0.6,0,2286342673.333333,0.0,2.89,44.49,43.23,43.71,43.56,1.0,8.36,50.78,44.25,74.8,47.92,1,0,0,0,0
000510,14.66,-4.56,0,741069217.0,0.0,7.36,15.75,14.62,15.36,15.36,1.0,3.82,18.96,15.85,23.5,16.9,0,0,0,0,0
000603,40.39,-1.44,0,615860813.3333334,0.0,3.0,41.58,40.35,41.28,40.98,1.0,4.83,46.68,42.37,73.47,45.08,0,0,0,0,0
000630,6.04,-0.17,0,1301362285.3333333,0.0,1.98,6.15,6.03,6.11,6.05,1.0,4.5,7.23,6.15,9.14,6.66,0,0,0,0,0
000547,26.49,-1.08,0,3371163400.0,0.0,3.96,27.41,26.35,27.1,26.78,1.0,-2.0,33.31,29.78,40.65,29.46,0,0,0,0,0
000657,48.98,-0.35,0,4373676588.333333,0.0,5.43,49.87,47.2,49.2,49.15,1.0,6.09,64.5,50.22,71.5,54.07,0,0,0,0,0
000678,13.01,0.0,0,353552593.33333325,0.0,3.38,13.28,12.84,12.95,13.01,1.0,-0.38,14.44,14.44,16.74,14.31,1,0,0,0,0
000665,4.76,-0.42,0,56564152.0,0.0,1.88,4.85,4.76,4.82,4.78,1.0,-1.24,5.45,5.09,7.21,5.26,0,0,0,0,0
000685,11.05,2.03,0,163773492.66666666,0.0,3.23,11.26,10.91,10.92,10.83,1.0,1.66,11.91,11.42,13.74,11.91,0,0,0,0,0
000551,14.03,0.65,0,242445750.66666663,0.0,2.73,14.32,13.94,14.22,13.94,1.0,7.35,14.55,14.17,18.35,15.33,1,0,0,0,0
000688,40.9,2.94,0,1222767851.3333333,0.0,9.01,43.45,39.87,40.27,39.73,1.0,3.39,43.3,43.3,43.3,43.7,0,0,0,0,0
000636,19.96,1.17,0,1120598536.0000002,0.0,1.93,20.33,19.95,19.96,19.73,1.0,7.2,23.5,20.41,27.5,21.7,0,0,0,0,0
000695,13.45,2.75,0,251450340.00000003,0.0,4.2,13.62,13.07,13.25,13.09,1.0,4.51,15.5,14.8,19.25,14.4,1,0,0,0,0
000534,45.68,9.99,1,990096824.0,0.0,6.26,45.68,43.08,44.0,41.53,1.0,19.05,47.05,42.36,49.14,45.68,1,0,1,1,0
000725,3.984,0.76,0,1846305581.1999998,0.0,1.26,4.024,3.974,3.994,3.954,1.0,2.31,4.41,4.0,4.67,4.35,0,0,0,0,0
000733,46.28,0.87,0,372252999.99999994,0.0,1.48,46.78,46.1,46.1,45.88,1.0,3.12,52.14,46.44,59.87,50.47,0,0,0,0,0
000737,13.72,0.44,0,440900112.0,0.0,1.76,13.87,13.63,13.78,13.66,1.0,4.26,16.07,13.88,21.5,15.03,0,0,0,0,0
000751,5.29,-1.49,0,193274778.6666667,0.0,2.98,5.45,5.29,5.43,5.37,1.0,1.93,6.54,5.5,7.81,5.91,0,0,0,0,0
000758,6.71,-0.3,0,207880317.33333334,0.0,1.93,6.83,6.7,6.8,6.73,1.0,3.23,7.83,6.87,9.53,7.4,0,0,0,0,0
000762,33.88,10.0,1,2709222008.3333335,0.0,10.94,33.88,30.51,30.8,30.8,1.0,8.38,32.15,32.15,32.59,33.88,1,0,1,1,0
000779,8.83,1.73,0,61544217.99999999,0.0,3.57,9.03,8.72,8.72,8.68,1.0,0.57,9.85,9.19,10.96,9.55,0,0,0,0,0
000807,34.221,-2.73,0,1697885784.2333336,0.0,3.16,35.201,34.091,35.191,35.181,1.0,5.98,36.12,35.4,37.85,38.7,1,0,0,0,0
000811,18.66,-0.32,0,441456996.0,0.0,3.42,19.25,18.61,18.99,18.72,1.0,10.81,20.55,18.95,22.08,20.59,1,0,0,0,0
000818,14.74,-4.04,0,1125434710.0,0.0,4.49,15.29,14.6,15.02,15.36,1.0,-25.86,25.68,22.28,25.9,16.9,0,0,0,0,0
000792,37.41,0.03,0,3205691687.333333,0.0,3.21,38.3,37.1,37.6,37.4,1.0,1.99,40.9,39.98,40.9,41.14,0,0,0,0,0
000823,14.41,1.26,0,445452390.6666666,0.0,2.81,14.56,14.16,14.36,14.23,1.0,15.0,16.13,14.65,16.6,15.65,0,0,0,0,0
000790,4.09,0.25,0,75226270.66666667,0.0,2.94,4.16,4.04,4.08,4.08,1.0,-3.54,4.33,4.33,4.79,4.49,0,0,0,0,0
000878,18.42,-0.49,0,786642377.0,0.0,2.22,18.8,18.39,18.64,18.51,1.0,4.54,23.24,18.74,29.24,20.36,0,0,0,0,0
000833,23.7,0.3,0,874897922.3333333,0.0,3.94,24.4,23.47,23.63,23.63,1.0,-5.16,30.13,27.37,30.13,25.99,0,0,0,0,0
000887,18.53,2.32,0,368229804.6666666,0.0,2.43,18.77,18.33,18.33,18.11,1.0,4.69,19.86,18.34,24.1,19.92,0,0,0,0,0
000901,22.41,0.09,0,420353906.6666666,0.0,1.79,22.8,22.4,22.51,22.39,1.0,2.52,24.81,23.15,35.4,24.63,0,0,0,0,0
000933,32.896,-3.06,0,1406246893.3333333,0.0,2.27,33.616,32.846,33.506,33.936,1.0,6.92,38.69,34.35,38.69,37.33,0,0,0,0,0
000967,10.24,7.79,0,2227747834.0,0.0,9.79,10.45,9.52,9.7,9.5,1.0,9.99,9.74,9.74,9.74,10.45,0,0,0,0,0
000837,10.73,1.23,0,121540656.0,0.0,1.79,10.87,10.68,10.69,10.6,1.0,3.07,12.74,10.8,13.7,11.66,0,0,0,0,0
000938,27.025,0.26,0,3689529536.500001,0.0,3.78,27.695,26.675,26.955,26.955,1.0,11.97,27.68,27.36,28.23,29.65,0,0,0,0,0
000973,18.108,4.08,0,1387888073.8666666,0.0,5.98,18.168,17.128,17.518,17.398,1.0,3.02,19.74,19.74,19.74,19.14,0,0,0,0,0
000988,115.672,0.86,0,11608211909.599998,0.0,3.3,117.432,113.652,116.752,114.682,1.0,15.57,141.16,117.6,141.16,126.15,0,0,0,0,0
001223,37.939,-0.51,0,59955968.8,0.0,4.4,38.668,36.989,38.418,38.132,1.0,4.59,40.06,40.06,45.2,41.95,0,0,0,0,0
000975,30.11,-2.21,0,994261660.0,0.0,4.25,31.33,30.02,31.17,30.79,1.0,2.76,33.37,31.81,41.81,33.87,0,0,0,0,0
000960,32.61,0.68,0,1362186015.9999998,0.0,3.18,33.33,32.3,32.77,32.39,1.0,6.6,38.96,33.29,48.55,35.63,0,0,0,0,0
001257,22.61,-4.11,0,1000575810.0,0.0,5.56,23.88,22.57,23.73,23.58,1.0,-8.76,30.0,30.0,30.0,25.94,0,0,0,0,0
001203,38.79,1.57,0,1381246001.9999998,0.0,6.65,40.87,38.33,39.11,38.19,1.0,-4.72,44.8,44.8,44.8,42.01,0,0,0,0,0
000983,6.48,0.31,0,257927072.66666672,0.0,1.7,6.51,6.4,6.4,6.46,1.0,-2.85,7.62,7.22,7.7,7.11,0,0,0,0,0
001212,50.54,-2.09,0,276867332.0,0.0,3.6,52.24,50.38,51.7,51.62,1.0,0.74,57.09,53.1,58.25,56.78,0,0,0,0,0
000923,18.11,-0.06,0,174962223.3333333,0.0,2.21,18.48,18.08,18.13,18.12,1.0,4.02,21.05,18.51,26.38,19.93,0,0,0,0,0
001301,74.38,1.75,0,476872093.3333334,0.0,3.43,75.79,73.28,73.9,73.1,1.0,1.39,89.0,81.5,109.7,80.41,0,0,0,0,0
001270,122.78,1.03,0,871735178.6666667,0.0,4.76,127.58,121.8,122.8,121.53,1.0,8.36,124.7,121.53,167.17,133.68,0,0,0,0,0
001339,64.09,0.34,0,397958815.99999994,0.0,3.71,65.38,63.01,64.48,63.87,1.0,8.66,76.65,64.64,80.0,70.26,0,0,0,0,0
002004,5.061,0.0,0,106914590.73333333,0.0,1.58,5.111,5.031,5.091,5.061,1.0,-0.2,5.49,5.2,5.83,5.57,0,0,0,0,0
001379,21.27,1.62,0,34161878.333333336,0.0,1.72,21.47,21.11,21.18,20.93,1.0,2.01,24.02,21.69,26.75,23.02,0,0,0,0,0
002006,17.77,1.66,0,121853349.33333331,0.0,1.72,17.9,17.6,17.6,17.48,1.0,4.1,21.2,17.91,25.05,19.23,0,0,0,0,0
001389,126.81,-0.24,0,1396215419.9999998,0.0,4.26,130.51,125.1,128.0,127.12,1.0,9.52,133.7,133.7,133.7,139.83,1,0,0,0,0
002009,24.7,0.41,0,746939578.6666667,0.0,3.86,25.63,24.68,24.91,24.6,1.0,0.49,27.61,25.34,38.0,27.06,0,0,0,0,0
002028,210.33,3.77,0,2637267360.0,0.0,3.89,212.88,204.99,205.0,202.68,1.0,0.35,220.47,214.46,239.12,222.95,0,0,0,0,0
002025,76.23,-2.54,0,3081871392.0000005,0.0,3.95,77.29,74.2,76.66,78.22,1.0,25.75,78.22,78.22,78.22,86.04,1,1,0,0,0
001359,75.85,1.53,0,85620143.0,0.0,2.52,76.66,74.78,75.11,74.71,1.0,5.66,79.5,75.8,85.44,82.18,0,0,0,0,0
002031,6.17,1.31,0,250528754.66666663,0.0,2.3,6.28,6.14,6.19,6.09,1.0,0.16,7.6,6.63,8.82,6.7,0,0,0,0,0
002029,10.12,1.1,0,131705002.0,0.0,2.4,10.35,10.11,10.18,10.01,1.0,-2.79,10.79,10.79,14.85,11.01,0,0,0,0,0
002042,4.469,-0.45,0,309445541.2333334,0.0,4.01,4.629,4.449,4.549,4.489,1.0,4.93,4.77,4.68,5.01,4.94,1,0,0,0,0
002046,47.334,1.85,0,637151873.6666666,0.0,4.35,48.504,46.484,46.934,46.474,1.0,11.1,51.81,46.95,55.32,51.12,1,0,0,0,0
002049,69.38,1.31,0,947180853.3333331,0.0,1.66,70.36,69.22,69.33,68.48,1.0,5.28,76.34,69.02,91.99,75.33,0,0,0,0,0
002050,44.87,2.49,0,4693731880.0,0.0,3.77,45.85,44.2,44.21,43.78,1.0,4.81,48.97,44.97,60.77,48.16,0,0,0,0,0
002068,8.41,0.84,0,129805605.0,0.0,3.84,8.64,8.32,8.4,8.34,1.0,-2.32,11.03,9.21,11.5,9.17,1,0,0,0,0
002074,38.81,10.01,1,3961678013.333334,0.0,8.87,38.81,35.68,35.7,35.28,1.0,11.52,39.5,38.11,45.07,38.81,0,0,1,1,0
002077,15.66,-0.13,0,288409770.0,0.0,3.64,16.23,15.66,15.86,15.68,1.0,0.26,17.42,17.15,20.39,17.25,0,0,0,0,0
002080,45.146,5.84,0,2614084650.6666665,0.0,6.26,45.946,43.276,43.366,42.656,1.0,15.5,46.65,43.43,53.14,46.92,0,0,0,0,0
002083,12.533,7.0,0,1137967433.2333333,0.0,8.37,12.793,11.813,11.813,11.713,1.0,3.13,12.66,12.66,14.46,12.88,1,0,0,0,0
001306,67.16,0.03,0,56017573.33333334,0.0,2.44,68.44,66.8,67.13,67.14,1.0,0.15,74.88,69.0,93.48,73.85,0,0,0,0,0
002081,3.22,0.63,0,51096285.66666667,0.0,1.56,3.27,3.22,3.23,3.2,1.0,-0.62,3.57,3.3,3.83,3.52,0,0,0,0,0
002091,8.98,2.39,0,284995414.6666666,0.0,3.31,9.07,8.78,8.8,8.77,1.0,2.98,9.32,9.1,10.63,9.65,0,0,0,0,0
002079,9.63,0.84,0,155676300.0,0.0,1.47,9.75,9.61,9.65,9.55,1.0,1.48,10.66,9.73,12.3,10.51,0,0,0,0,0
002115,12.17,-0.73,0,386619390.66666675,0.0,2.28,12.44,12.16,12.36,12.26,1.0,2.35,13.76,12.63,21.0,13.49,0,0,0,0,0
002121,7.76,2.24,0,214998529.66666663,0.0,2.5,7.86,7.67,7.67,7.59,1.0,1.7,9.99,8.58,10.74,8.35,0,0,0,0,0
002139,12.231,1.83,0,159724764.4,0.0,2.33,12.341,12.061,12.061,12.011,1.0,1.83,13.06,12.57,14.58,13.21,0,0,0,0,0
002126,45.732,2.58,0,1087526914.8,0.0,3.41,46.212,44.692,44.962,44.582,1.0,9.35,51.87,45.62,55.71,49.04,0,0,0,0,0
002129,8.63,2.01,0,616230405.3333334,0.0,2.25,8.72,8.53,8.55,8.46,1.0,0.47,10.38,9.65,11.86,9.31,0,0,0,0,0
002125,13.205,2.09,0,228704925.1666667,0.0,3.25,13.435,13.015,13.025,12.935,1.0,2.64,15.38,13.79,16.68,14.23,0,0,0,0,0
002155,30.18,-1.79,0,1807090973.9999998,0.0,2.86,30.98,30.1,30.9,30.73,1.0,3.96,35.18,31.77,43.37,33.8,1,0,0,0,0
002150,33.33,1.99,0,1619767652.0000002,0.0,7.83,34.78,32.22,32.89,32.68,1.0,10.55,39.41,38.01,39.41,35.95,1,1,0,0,0
002192,73.17,0.16,0,3251940233.3333335,0.0,5.64,76.0,71.88,73.0,73.05,1.0,1.18,84.44,84.44,84.44,80.36,1,0,0,0,0
002176,10.74,2.38,0,1851386974.3333333,0.0,5.43,11.06,10.49,10.55,10.49,1.0,2.58,11.09,11.09,12.87,11.54,1,0,0,0,0
002185,12.218,0.91,0,1088843957.7333333,0.0,2.06,12.458,12.208,12.298,12.108,1.0,5.99,14.3,12.57,15.98,13.32,0,0,0,0,0
002167,12.63,1.69,0,307335592.0,0.0,2.5,12.78,12.47,12.52,12.42,1.0,5.6,14.85,12.6,16.6,13.66,0,0,0,0,0
002108,4.84,1.04,0,248180759.99999997,0.0,2.51,4.93,4.81,4.82,4.79,1.0,-0.21,5.22,5.03,5.65,5.27,0,0,0,0,0
002106,10.62,0.66,0,101021059.99999999,0.0,1.9,10.82,10.62,10.67,10.55,1.0,5.04,12.83,11.14,12.83,11.61,0,0,0,0,0
002229,17.66,-3.66,0,1238683206.0,0.0,5.29,18.6,17.63,18.51,18.33,1.0,1.96,19.3,18.98,19.3,20.16,0,0,0,0,0
002112,21.1,1.05,0,543611616.3333334,0.0,4.45,21.8,20.87,21.05,20.88,1.0,2.93,27.49,23.87,28.55,22.97,0,0,0,0,0
002202,24.07,0.96,0,4897469951.666667,0.0,3.19,24.77,24.01,24.02,23.84,1.0,0.25,33.3,28.75,37.03,26.22,0,0,0,0,0
002156,45.149,1.1,0,2904271940.4666667,0.0,3.65,46.619,44.989,45.159,44.659,1.0,10.96,48.18,45.19,59.12,49.12,0,0,0,0,0
002254,10.66,0.28,0,128221205.0,0.0,1.79,10.8,10.61,10.64,10.63,1.0,3.09,13.79,10.8,14.09,11.69,0,0,0,0,0
002263,4.9,10.11,1,1981174752.666667,0.0,13.26,4.9,4.31,4.31,4.45,1.0,3.59,5.18,5.18,5.18,4.9,1,0,1,1,0
002240,40.78,4.56,0,2483356575.0,0.0,5.21,41.0,38.97,39.2,39.0,1.0,2.75,44.0,44.0,46.18,42.9,1,0,0,0,0
002270,27.99,0.83,0,286554684.0,0.0,2.09,28.49,27.91,28.22,27.76,1.0,4.09,36.01,28.27,37.8,30.54,0,0,0,0,0
002281,107.82,-0.25,0,10850026980.000002,0.0,5.59,112.1,106.06,111.72,108.09,1.0,28.51,108.09,108.09,108.09,118.9,1,1,0,0,0
002290,67.57,1.55,0,446948984.3333334,0.0,4.0,69.28,66.62,66.81,66.54,1.0,8.18,67.27,67.27,68.41,73.19,0,0,0,0,0
002340,8.09,1.89,0,1329869339.9999998,0.0,2.64,8.21,8.0,8.02,7.94,1.0,3.85,9.25,8.18,10.18,8.73,0,0,0,0,0
002378,31.48,-1.47,0,1236442591.3333335,0.0,4.98,32.6,31.01,32.5,31.95,1.0,3.52,44.2,33.09,48.42,35.15,0,0,0,0,0
002384,143.55,8.83,0,20336196498.333336,0.0,9.72,145.09,132.27,132.3,131.9,1.0,35.11,131.9,131.9,131.9,145.09,1,1,0,0,0
002326,23.52,2.13,0,990323840.0,0.0,2.95,23.78,23.1,23.15,23.03,1.0,3.75,24.69,23.87,33.0,25.33,0,0,0,0,0
002392,7.48,1.63,0,123702780.0,0.0,3.12,7.55,7.32,7.46,7.36,1.0,7.47,7.81,7.47,9.14,8.1,0,0,0,0,0
002402,31.421,1.0,0,895583270.4,0.0,2.57,31.901,31.101,31.301,31.111,1.0,5.44,32.88,31.6,57.3,34.22,0,0,0,0,0
002338,52.07,1.48,0,228240247.3333333,0.0,1.58,52.44,51.63,51.74,51.31,1.0,11.64,52.72,52.58,68.93,56.44,0,0,0,0,0
002407,28.066,2.78,0,2640846528.4666667,0.0,4.98,28.666,27.306,27.586,27.306,1.0,1.78,31.61,29.08,41.8,30.04,0,0,0,0,0
002371,476.89,0.86,0,3714415430.0000005,0.0,1.99,484.41,475.0,475.0,472.84,1.0,8.88,478.0,478.0,534.0,520.12,0,0,0,0,0
002353,116.763,4.45,0,2674620368.8,0.0,8.52,119.983,110.463,112.303,111.793,1.0,8.82,114.24,114.24,129.29,122.97,1,0,0,0,0
002409,85.12,1.16,0,822965231.9999999,0.0,1.97,86.35,84.69,84.94,84.14,1.0,10.66,93.34,86.59,100.63,92.55,0,0,0,0,0
002428,56.79,2.16,0,6753030402.666667,0.0,10.52,59.5,53.65,58.29,55.59,1.0,19.56,56.7,56.7,56.7,61.15,1,0,0,0,0
002413,13.22,-1.86,0,1381816919.3333333,0.0,3.04,13.61,13.2,13.52,13.47,1.0,-2.65,15.18,14.38,20.29,14.82,0,0,0,0,0
002436,22.91,3.9,0,2461691257.666667,0.0,6.53,23.53,22.09,22.09,22.05,1.0,16.18,24.71,22.13,27.31,24.26,0,0,0,0,0
002324,15.346,0.85,0,213593405.8,0.0,1.84,15.576,15.296,15.346,15.216,1.0,3.02,17.41,15.5,25.61,16.74,0,0,0,0,0
002432,91.265,5.48,0,2464219617.4999995,0.0,7.57,93.315,86.765,87.695,86.525,1.0,14.56,88.5,88.5,88.5,95.18,1,0,0,0,0
002453,5.06,0.2,0,36474960.666666664,0.0,1.98,5.15,5.05,5.08,5.05,1.0,-1.75,6.36,5.55,8.47,5.56,0,0,0,0,0
002460,83.98,3.67,0,8788471382.666666,0.0,7.09,86.99,81.25,81.74,81.01,1.0,5.07,83.78,83.78,83.78,89.11,1,0,0,0,0
002465,14.791,-0.34,0,761521192.6000001,0.0,2.16,15.091,14.771,14.971,14.841,1.0,2.07,17.2,15.43,26.56,16.33,0,0,0,0,0
002463,87.82,2.91,0,7687824984.0,0.0,5.41,89.16,84.54,86.06,85.34,1.0,15.9,93.46,86.61,93.46,93.87,1,0,0,0,0
002466,59.64,3.45,0,4531539092.666667,0.0,4.82,60.66,57.88,58.0,57.65,1.0,6.18,59.17,59.17,66.65,63.42,0,0,0,0,0
002471,8.81,-2.65,0,1877447382.0,0.0,4.31,9.2,8.81,9.0,9.05,1.0,-5.88,9.89,9.89,10.87,9.96,1,0,0,0,0
002446,9.86,-0.6,0,233962791.3333333,0.0,2.52,10.1,9.85,9.97,9.92,1.0,0.51,11.2,10.23,14.67,10.91,0,0,0,0,0
002491,14.59,-9.6,0,4612075616.666666,0.0,7.74,15.78,14.53,15.5,16.14,1.0,21.58,16.66,16.66,16.66,17.75,1,0,0,0,0
002497,24.19,3.78,0,1435953152.0000002,0.0,6.78,24.59,23.01,23.31,23.31,1.0,6.42,25.77,24.86,29.65,25.64,0,0,0,0,0
002472,38.14,2.97,0,552882456.0,0.0,2.7,38.4,37.4,37.56,37.04,1.0,6.24,39.59,37.46,49.47,40.74,0,0,0,0,0
