代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000155,16.63,2.4,0,1945209249.6666665,0.0,5.05,16.64,15.82,15.9,16.24,1.0,4.79,17.7,17.7,17.7,17.86,1,0,0,0,0
000060,6.44,6.1,0,824450073.6666669,0.0,3.13,6.44,6.25,6.26,6.07,1.0,5.23,7.57,6.31,9.22,6.68,0,0,0,0,0
000063,34.04,5.26,0,3291416267.333333,0.0,3.25,34.05,33.0,33.0,32.34,1.0,4.93,38.1,33.84,47.77,35.57,0,0,0,0,0
000301,11.45,-0.52,0,386674058.0,0.0,2.95,11.48,11.14,11.4,11.51,1.0,7.51,12.24,11.57,14.7,12.66,0,0,0,0,0
000070,18.98,4.69,0,2680119006.0,0.0,6.07,19.05,17.95,18.4,18.13,1.0,6.63,20.3,20.3,20.3,19.94,1,0,0,0,0
000333,76.73,0.8,0,2201985510.6666665,0.0,1.18,77.25,76.35,76.95,76.12,1.0,0.5,77.84,77.84,83.17,83.73,0,0,0,0,0
000021,27.61,7.06,0,2604048813.3333335,0.0,3.96,27.62,26.6,26.77,25.79,1.0,7.98,33.57,30.16,35.75,28.37,0,0,0,0,0
000338,25.4,6.37,0,3740320329.9999995,0.0,4.4,26.0,24.95,25.36,23.88,1.0,4.79,28.35,25.9,30.19,26.27,0,0,0,0,0
000009,8.85,4.12,0,223861170.66666666,0.0,2.59,8.85,8.63,8.65,8.5,1.0,0.45,9.69,9.14,11.9,9.35,0,0,0,0,0
000408,83.004,4.4,0,1475062816.0000002,0.0,3.41,83.434,80.724,81.154,79.504,1.0,6.72,82.8,81.71,95.78,87.45,0,0,0,0,0
000510,15.62,8.77,0,990123299.3333333,0.0,5.99,15.73,14.87,15.0,14.36,1.0,5.9,20.22,15.69,23.5,15.8,0,0,0,0,0
000027,6.78,1.95,0,260857332.66666666,0.0,1.35,6.79,6.7,6.7,6.65,1.0,-2.45,8.48,8.48,8.48,7.32,0,0,0,0,0
000032,18.275,8.75,0,678027851.3333334,0.0,6.25,18.345,17.295,17.425,16.805,1.0,1.33,20.27,19.62,24.16,18.49,0,0,0,0,0
000533,14.56,5.2,0,827968168.0000001,0.0,3.18,14.56,14.12,14.12,13.84,1.0,2.32,21.84,17.99,21.84,15.22,0,0,0,0,0
000426,43.56,10.0,1,2385082106.6666665,0.0,4.97,43.56,41.59,41.65,39.6,1.0,8.3,52.32,41.9,74.8,43.56,0,0,1,1,0
000066,14.98,5.12,0,1105220014.0000002,0.0,2.95,14.99,14.57,14.57,14.25,1.0,1.84,17.6,16.47,19.6,15.68,0,0,0,0,0
000539,5.57,1.83,0,522805380.00000006,0.0,2.01,5.57,5.46,5.55,5.47,1.0,-5.43,8.14,8.14,8.14,6.02,1,0,0,0,0
000547,27.6,6.44,0,4774592150.0,0.0,5.63,27.76,26.3,26.61,25.93,1.0,-3.02,34.3,29.78,40.65,28.52,0,0,0,0,0
000534,39.33,10.01,1,245663801.66666666,0.0,6.49,39.33,37.01,37.23,35.75,1.0,10.98,49.14,42.9,49.14,39.33,1,0,1,1,0
000570,5.648,3.29,0,64739636.06666666,0.0,2.38,5.658,5.528,5.548,5.468,1.0,-0.7,6.33,5.91,6.43,6.01,0,0,0,0,0
000630,6.14,6.41,0,2262234716.6666665,0.0,3.29,6.15,5.96,5.98,5.77,1.0,6.6,7.38,6.02,9.14,6.35,0,0,0,0,0
000551,13.94,10.02,1,156110099.99999997,0.0,4.97,13.94,13.31,13.31,12.67,1.0,5.29,14.88,13.8,18.35,13.94,0,0,1,1,0
000665,4.9,3.81,0,70829640.0,0.0,2.54,4.9,4.78,4.79,4.72,1.0,-0.41,5.45,5.09,7.21,5.19,0,0,0,0,0
000657,49.45,3.8,0,4335713333.333333,0.0,3.38,49.83,48.22,49.0,47.64,1.0,3.65,69.2,51.78,71.5,52.4,0,0,0,0,0
000603,41.96,7.81,0,1237342842.6666665,0.0,3.55,42.37,40.99,41.19,38.92,1.0,8.48,49.05,40.63,73.47,42.81,0,0,0,0,0
000685,10.99,3.19,0,153861401.33333334,0.0,1.88,11.01,10.81,10.84,10.65,1.0,-1.08,11.91,11.42,13.74,11.72,0,0,0,0,0
000688,40.26,2.05,0,1003552543.3333331,0.0,5.7,40.69,38.44,38.86,39.45,1.0,3.92,43.3,43.3,43.3,43.4,1,0,0,0,0
000678,13.67,0.51,0,796205253.6666667,0.0,8.38,14.44,13.3,13.55,13.6,1.0,8.15,13.61,13.61,16.74,14.96,1,0,0,0,0
000636,19.83,6.9,0,2028322127.9999998,0.0,6.58,20.41,19.19,19.19,18.55,1.0,4.75,24.44,20.65,27.5,20.41,0,0,0,0,0
000751,5.5,5.57,0,303372524.0,0.0,3.65,5.5,5.31,5.39,5.21,1.0,4.56,6.65,5.48,7.81,5.73,0,0,0,0,0
000758,6.86,5.21,0,344131453.3333334,0.0,2.76,6.87,6.69,6.7,6.52,1.0,4.73,8.01,6.8,9.53,7.17,0,0,0,0,0
000762,30.75,1.15,0,1134400306.6666667,0.0,4.31,30.99,29.68,30.3,30.4,1.0,5.89,32.15,32.15,32.59,33.44,1,0,0,0,0
000779,8.97,4.3,0,56847965.33333333,0.0,2.91,8.98,8.73,8.73,8.6,1.0,1.93,10.02,9.19,10.96,9.46,0,0,0,0,0
000790,4.2,-1.64,0,117323870.0,0.0,3.75,4.33,4.17,4.33,4.27,1.0,1.69,4.3,4.3,4.79,4.7,0,0,0,0,0
000695,13.01,0.85,0,329598628.6666667,0.0,3.33,13.08,12.65,12.9,12.9,1.0,-1.96,15.5,14.8,19.25,14.19,1,1,0,0,0
000792,37.25,2.25,0,3337666933.333333,0.0,4.45,37.42,35.8,36.0,36.43,1.0,0.68,40.9,39.98,40.9,40.07,0,0,0,0,0
000807,34.381,5.52,0,2910067205.666667,0.0,4.45,34.571,33.121,33.161,32.581,1.0,12.28,36.12,33.22,37.85,35.84,1,0,0,0,0
000818,15.62,-10.02,0,310110108.0,0.0,0.0,15.62,15.62,15.62,17.36,1.0,-25.76,25.68,22.76,25.9,19.1,0,0,0,0,0
000725,3.974,3.11,0,2287793535.3333335,0.0,2.34,3.984,3.894,3.924,3.854,1.0,3.11,4.41,4.0,4.67,4.24,0,0,0,0,0
000811,18.43,10.03,1,539655752.0,0.0,7.34,18.43,17.2,17.23,16.75,1.0,7.03,21.43,19.13,22.08,18.43,1,0,1,1,0
000833,23.79,-3.76,0,1200525480.0,0.0,3.28,23.93,23.12,23.33,24.72,1.0,-7.14,30.13,27.37,30.13,27.19,0,0,0,0,0
000823,13.46,7.17,0,327425307.0,0.0,4.7,13.47,12.88,12.88,12.56,1.0,8.11,16.13,13.7,16.6,13.82,0,0,0,0,0
000737,13.88,7.18,0,834117829.3333335,0.0,4.02,13.88,13.36,13.51,12.95,1.0,4.44,16.52,13.78,21.5,14.25,0,0,0,0,0
000733,46.14,4.29,0,550570930.6666666,0.0,2.62,46.19,45.03,45.16,44.24,1.0,1.65,53.37,46.44,59.87,48.66,0,0,0,0,0
000837,10.8,5.26,0,185640402.00000006,0.0,3.22,10.8,10.47,10.48,10.26,1.0,2.56,13.11,10.78,13.7,11.29,0,0,0,0,0
000901,22.46,5.99,0,574067195.9999999,0.0,4.25,22.49,21.59,21.59,21.19,1.0,-0.27,25.56,23.15,35.4,23.31,0,0,0,0,0
000878,18.71,7.53,0,1212923661.0,0.0,4.14,18.74,18.02,18.03,17.4,1.0,5.11,23.46,18.8,29.24,19.14,0,0,0,0,0
