代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近5日最高,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000155,14.6,2.46,0,716469642.0,0.0,3.02,14.65,14.22,14.28,14.25,1.0,2.24,14.64,19.34,16.25,19.34,15.68,0,0,0,0,0
000301,12.2,1.24,0,237629408.33333334,0.0,4.23,12.46,11.95,12.04,12.05,1.0,-1.53,12.69,13.48,12.94,14.7,13.26,0,0,0,0,0
000070,17.01,-5.87,0,826801091.9999999,0.0,3.93,17.71,17.0,17.61,18.07,1.0,-7.15,18.72,22.12,20.64,22.5,19.88,0,0,0,0,0
000066,18.48,3.82,0,5296119315.666667,0.0,5.9,19.39,18.34,18.52,17.8,1.0,-10.2,20.78,25.74,22.4,25.74,19.58,0,0,0,0,0
000032,16.465,0.12,0,323768806.8333333,0.0,3.41,16.875,16.315,16.445,16.445,1.0,-12.77,19.23,21.32,21.32,24.16,18.09,0,0,0,0,0
000060,7.68,-0.39,0,1803303376.666667,0.0,4.54,8.01,7.66,7.71,7.71,1.0,-0.26,8.27,8.75,8.27,9.22,8.48,1,0,0,0,0
000027,8.02,-0.74,0,987485860.0,0.0,7.43,8.24,7.64,8.17,8.08,1.0,6.08,8.45,8.45,8.45,8.48,8.89,0,0,0,0,0
000021,36.21,-8.49,0,6763679925.0,0.0,8.64,39.48,36.06,38.79,39.57,1.0,-11.53,46.81,46.81,46.81,46.81,43.53,1,0,0,0,0
000534,32.33,-1.52,0,632744388.3333333,0.0,6.7,34.26,32.06,33.36,32.83,1.0,-10.19,36.97,43.05,39.22,49.14,36.11,0,0,0,0,0
000510,18.32,10.03,1,504400473.00000006,0.0,9.79,18.32,16.69,16.7,16.65,1.0,11.5,19.32,19.32,19.32,23.5,18.32,1,0,1,1,0
000426,39.69,-0.03,0,2184829109.666667,0.0,6.35,40.96,38.44,38.91,39.7,1.0,-4.96,43.94,52.69,43.94,74.8,43.67,0,0,0,0,0
000408,76.05,-1.46,0,927835333.3333334,0.0,3.07,78.16,75.79,77.0,77.18,1.0,-3.98,84.59,92.88,84.59,95.78,84.9,0,0,0,0,0
000539,9.77,10.02,1,4453582918.666666,0.0,14.3,9.77,8.5,9.77,8.88,1.0,44.53,8.88,8.88,8.88,8.88,9.77,1,1,0,4,1
000533,12.69,9.97,1,654656764.6666666,0.0,7.71,12.69,11.8,11.99,11.54,1.0,3.09,12.72,15.35,14.35,21.84,12.69,0,0,1,1,0
000063,35.1,-4.41,0,5761668276.0,0.0,4.82,36.83,35.06,36.65,36.72,1.0,-3.23,38.78,40.2,38.78,47.77,40.39,1,0,0,0,0
000338,33.7,-4.64,0,4920836416.666666,0.0,8.04,35.7,32.86,35.18,35.34,1.0,-3.99,36.34,36.34,36.34,36.34,38.87,0,0,0,0,0
000333,81.7,1.05,0,3063790563.0,0.0,2.12,82.0,80.29,80.32,80.85,1.0,2.37,81.26,83.44,83.44,83.44,88.94,0,0,0,0,0
000547,20.1,-0.99,0,1297956045.0,0.0,2.71,20.61,20.06,20.12,20.3,1.0,-14.29,24.12,29.97,26.11,40.65,22.33,0,0,0,0,0
000551,15.64,-1.14,0,189706703.3333333,0.0,1.96,15.8,15.49,15.69,15.82,1.0,-8.59,17.78,18.05,18.05,18.35,17.4,0,0,0,0,0
000678,11.65,1.84,0,102678968.0,0.0,4.11,11.84,11.37,11.44,11.44,1.0,-2.92,12.96,13.9,13.4,16.74,12.58,0,0,0,0,0
000603,30.75,-0.1,0,411041400.0,0.0,3.77,31.33,30.17,30.62,30.78,1.0,-9.29,34.6,41.19,34.6,73.47,33.86,0,0,0,0,0
000570,5.66,2.17,0,79046200.66666667,0.0,4.15,5.68,5.45,5.5,5.54,1.0,-4.23,6.17,6.84,6.56,6.93,6.09,0,0,0,0,0
000657,63.18,-7.09,0,6109776176.666667,0.0,11.46,70.8,63.01,68.02,68.0,1.0,-1.6,70.96,70.96,70.96,71.5,74.8,1,0,0,0,0
000685,11.53,0.61,0,231181050.0,0.0,2.53,11.63,11.34,11.46,11.46,1.0,-5.1,12.36,13.22,13.22,13.74,12.61,1,0,0,0,0
000688,39.31,-6.8,0,894255125.0,0.0,8.49,42.76,39.18,41.34,42.18,1.0,-7.09,46.06,52.73,46.06,52.73,46.4,0,0,0,0,0
000630,6.77,-1.17,0,2838288096.0,0.0,3.65,7.0,6.75,6.85,6.85,1.0,1.2,7.18,7.18,7.18,9.14,7.54,1,0,0,0,0
000636,55.05,3.81,0,13974986647.999998,0.0,17.5,58.26,48.98,48.98,53.03,1.0,33.04,53.5,53.5,53.5,53.5,58.33,1,0,0,0,0
000695,15.26,0.79,0,343072196.6666666,0.0,8.85,16.19,14.85,14.88,15.14,1.0,-6.72,16.58,16.8,16.8,19.25,16.65,1,0,0,0,0
000725,5.304,4.95,0,17952762205.066666,0.0,9.3,5.534,5.064,5.064,5.054,1.0,1.73,6.03,6.03,6.03,6.03,5.56,1,0,0,0,0
000665,4.43,0.68,0,57393487.0,0.0,3.18,4.46,4.32,4.39,4.4,1.0,-4.73,4.73,5.18,4.98,7.21,4.84,0,0,0,0,0
000751,5.17,-2.64,0,260011267.99999997,0.0,6.21,5.47,5.14,5.32,5.31,1.0,-6.0,5.62,6.64,6.09,7.81,5.84,0,0,0,0,0
000758,6.76,0.9,0,188448568.00000003,0.0,2.39,6.82,6.66,6.66,6.7,1.0,-3.98,7.24,7.79,7.24,9.53,7.37,0,0,0,0,0
000779,7.68,4.35,0,68628135.33333334,0.0,5.84,7.71,7.28,7.36,7.36,1.0,-0.39,7.84,9.07,8.35,10.96,8.1,0,0,0,0,0
000733,50.87,-1.2,0,1842673541.9999998,0.0,5.03,53.17,50.58,50.62,51.49,1.0,-2.32,54.91,54.91,54.91,59.87,56.64,0,0,0,0,0
000737,13.97,0.5,0,497753659.00000006,0.0,2.16,14.16,13.86,13.96,13.9,1.0,-2.31,14.7,16.5,14.7,21.5,15.29,0,0,0,0,0
000790,3.96,1.02,0,70315172.66666667,0.0,3.57,4.02,3.88,3.92,3.92,1.0,-7.69,4.4,4.65,4.48,4.79,4.31,0,0,0,0,0
000792,30.38,-1.27,0,1714678313.3333333,0.0,2.24,31.02,30.33,30.5,30.77,1.0,-5.03,33.0,41.6,34.2,41.6,33.85,0,0,0,0,0
000811,31.17,-5.34,0,1201545738.0,0.0,7.32,33.41,31.0,33.0,32.93,1.0,-9.65,35.88,38.46,38.46,38.46,36.22,1,0,0,0,0
000762,29.35,-0.74,0,420262440.00000006,0.0,2.33,29.87,29.18,29.42,29.57,1.0,-6.53,32.36,41.43,33.76,41.43,32.53,0,0,0,0,0
000807,28.531,1.49,0,1718553043.4333336,0.0,2.88,28.751,27.941,28.221,28.111,1.0,-2.06,31.78,32.88,31.78,37.85,30.92,0,0,0,0,0
000818,14.46,0.0,0,265901470.00000003,0.0,2.7,14.65,14.26,14.54,14.46,1.0,-11.51,16.78,19.64,17.2,25.9,15.91,1,0,0,0,0
000833,23.82,2.45,0,570816148.0,0.0,3.18,23.97,23.23,23.54,23.25,1.0,-6.77,25.91,31.54,29.8,31.54,25.58,0,0,0,0,0
000878,17.9,1.02,0,736431464.0,0.0,3.5,18.23,17.61,17.71,17.72,1.0,-1.49,18.8,20.92,19.47,29.24,19.49,0,0,0,0,0
000901,18.93,-0.42,0,265476323.6666667,0.0,2.0,19.26,18.88,19.0,19.01,1.0,-8.73,21.35,25.09,22.66,35.4,20.91,0,0,0,0,0
000960,39.26,4.69,0,3875469311.0000005,0.0,7.81,41.02,38.09,38.17,37.5,1.0,-1.46,42.19,42.38,42.19,48.55,41.25,0,0,0,0,0
000933,30.25,4.54,0,1696216904.0,0.0,4.91,30.48,29.06,29.35,28.936,1.0,0.71,31.7,32.56,31.7,38.69,31.83,0,0,0,0,0
000923,15.03,0.74,0,161012529.33333334,0.0,3.02,15.22,14.77,14.88,14.92,1.0,-2.02,16.37,17.98,16.37,26.38,16.41,0,0,0,0,0
000973,14.708,-0.27,0,651060976.4000001,0.0,3.59,15.048,14.518,14.668,14.748,1.0,-1.93,15.49,22.24,17.41,22.24,16.22,0,0,0,0,0
000975,22.7,1.07,0,1028092036.6666667,0.0,3.52,23.06,22.27,22.36,22.46,1.0,-6.74,25.59,29.41,25.59,41.81,24.71,0,0,0,0,0
000837,11.45,-1.29,0,172802023.3333333,0.0,2.16,11.69,11.44,11.57,11.6,1.0,-8.11,12.68,12.94,12.94,13.7,12.76,0,0,0,0,0
000823,15.91,-2.15,0,847924982.6666667,0.0,7.32,16.77,15.58,15.87,16.26,1.0,-2.57,17.2,17.76,17.2,17.76,17.89,0,0,0,0,0
000983,7.3,7.51,0,1491345024.0,0.0,8.98,7.35,6.74,6.88,6.79,1.0,10.11,6.93,7.33,6.93,7.7,7.47,0,0,0,0,0
000967,10.4,-2.71,0,987920850.0,0.0,5.43,10.84,10.26,10.64,10.69,1.0,-19.5,13.45,17.09,13.63,17.09,11.76,0,0,0,0,0
000988,142.822,-5.83,0,12464067744.466667,0.0,8.14,154.672,142.332,154.652,151.672,1.0,-16.81,175.55,175.55,175.55,175.55,166.84,1,0,0,0,0
000887,20.98,-0.19,0,1273458172.0,0.0,4.04,21.62,20.77,20.97,21.02,1.0,1.21,21.57,21.57,21.57,24.1,23.12,0,0,0,0,0
001212,50.68,0.14,0,304876806.6666666,0.0,3.81,52.33,50.4,50.5,50.61,1.0,-10.62,58.06,60.29,60.29,60.29,55.67,0,0,0,0,0
001223,39.104,-3.51,0,41500444.699999996,0.0,4.99,40.875,38.854,40.204,40.525,1.0,-14.45,46.99,52.34,50.12,52.34,44.58,0,0,0,0,0
