代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000027,7.37,0.55,0,357988992.6666667,0.0,4.77,7.48,7.13,7.31,7.33,1.0,2.93,8.45,8.03,8.48,8.06,0,0,0,0,0
000301,12.27,-1.45,0,216670677.33333334,0.0,3.29,12.63,12.22,12.37,12.45,1.0,4.69,12.91,12.91,14.7,13.7,0,0,0,0,0
000155,13.34,-0.89,0,397381539.3333333,0.0,2.67,13.6,13.24,13.46,13.46,1.0,2.93,16.25,14.08,19.34,14.81,0,0,0,0,0
000032,23.22,1.44,0,3677120276.6666665,0.0,8.39,23.72,21.8,23.21,22.89,1.0,48.47,22.89,22.89,24.16,25.18,1,1,0,0,0
000009,6.99,-1.27,0,127965556.00000003,0.0,1.84,7.08,6.95,7.04,7.08,1.0,-0.29,8.03,7.35,11.9,7.79,0,0,0,0,0
000060,7.97,-0.62,0,1883050286.6666667,0.0,3.87,8.22,7.91,8.0,8.02,1.0,14.68,8.44,8.44,9.22,8.82,0,0,0,0,0
000021,42.91,5.25,0,6935264177.333333,0.0,7.63,42.96,39.85,39.85,40.77,1.0,14.98,46.81,41.34,46.81,44.85,0,0,0,0,0
000066,17.81,7.29,0,4705708224.666667,0.0,10.24,17.98,16.28,16.4,16.6,1.0,10.35,22.4,18.65,25.74,18.26,0,0,0,0,0
000063,37.64,-0.95,0,5699958378.666666,0.0,2.63,38.12,37.12,37.5,38.0,1.0,-2.03,41.3,41.3,47.77,41.8,0,0,0,0,0
000333,79.22,0.33,0,2649129730.6666665,0.0,1.66,79.85,78.54,78.97,78.96,1.0,-5.58,85.9,85.9,85.9,86.86,0,0,0,0,0
000338,29.28,4.16,0,3070341369.6666665,0.0,6.58,29.93,28.08,28.25,28.11,1.0,3.87,36.34,34.38,36.34,30.92,0,0,0,0,0
000070,20.66,6.0,0,2715615880.333333,0.0,9.39,20.83,19.0,19.0,19.49,1.0,13.45,20.64,20.38,22.5,21.44,1,0,0,0,0
000510,22.02,-4.05,0,1898195229.3333333,0.0,6.36,22.94,21.48,22.71,22.95,1.0,37.54,23.28,23.28,23.5,25.25,1,0,0,0,0
000547,20.05,0.45,0,2475603000.0,0.0,4.51,20.8,19.9,19.96,19.96,1.0,6.25,24.76,21.49,40.65,21.96,1,0,0,0,0
000408,77.18,1.1,0,882294546.6666666,0.0,2.96,77.94,75.68,77.15,76.34,1.0,3.47,84.59,83.6,95.78,83.97,0,0,0,0,0
000426,40.61,1.5,0,2368144323.333333,0.0,4.15,41.36,39.7,40.0,40.01,1.0,14.69,43.94,43.15,74.8,44.01,0,0,0,0,0
000534,29.42,-1.11,0,519084438.6666667,0.0,5.48,30.75,29.12,29.76,29.75,1.0,2.37,38.67,34.25,49.14,32.73,0,0,0,0,0
000533,10.75,-4.36,0,369717678.0,0.0,4.98,11.24,10.68,11.15,11.24,1.0,0.47,13.85,12.17,21.84,12.36,0,0,0,0,0
000570,5.12,-1.35,0,48627783.0,0.0,2.5,5.2,5.07,5.19,5.19,1.0,-1.54,6.34,5.63,6.93,5.71,0,0,0,0,0
000551,15.21,-1.17,0,298116308.0,0.0,2.66,15.49,15.08,15.3,15.39,1.0,0.8,18.05,15.72,18.35,16.93,0,0,0,0,0
000603,26.52,-4.29,0,2256519008.0,0.0,6.28,27.45,25.71,26.11,27.71,1.0,-2.5,34.6,31.94,73.47,30.48,0,0,0,0,0
000539,8.22,6.61,0,2388878414.0,0.0,12.97,8.48,7.48,7.8,7.71,1.0,9.16,9.82,9.82,9.82,8.48,0,0,0,0,0
000630,7.56,-0.13,0,4512352500.0,0.0,4.89,7.7,7.33,7.56,7.57,1.0,19.06,7.71,7.71,9.14,8.33,1,0,0,0,0
000665,3.93,-3.68,0,67682866.66666666,0.0,3.92,4.08,3.92,4.06,4.08,1.0,-8.18,4.94,4.49,7.21,4.49,0,0,0,0,0
000636,74.06,4.89,0,11904695949.666668,0.0,7.38,74.09,68.88,69.98,70.61,1.0,23.83,71.53,71.53,71.53,77.67,1,0,0,0,0
000657,89.53,-3.21,0,9693270340.0,0.0,4.45,92.12,88.0,89.0,92.5,1.0,22.81,94.14,94.14,94.14,101.75,1,0,0,0,0
000678,9.64,-4.08,0,118476636.00000001,0.0,3.18,9.93,9.61,9.93,10.05,1.0,-15.29,13.17,12.24,16.74,11.06,0,0,0,0,0
000685,11.19,1.08,0,187678255.33333334,0.0,2.62,11.28,10.99,11.03,11.07,1.0,7.8,13.22,11.35,13.74,12.18,0,0,0,0,0
000688,40.8,-2.32,0,1037097823.0,0.0,4.76,42.59,40.6,41.2,41.77,1.0,-0.97,49.5,49.5,52.73,45.95,1,0,0,0,0
000725,6.654,10.09,1,11935202540.4,0.0,10.92,6.654,5.994,6.004,6.044,1.0,11.38,6.71,6.71,6.71,6.65,1,0,1,1,0
000695,14.47,10.04,1,363621625.0,0.0,12.62,14.47,12.81,13.03,13.15,1.0,11.82,16.8,14.77,19.25,14.47,0,0,1,1,0
000733,58.13,3.18,0,3157537016.0,0.0,5.63,58.85,55.68,56.1,56.34,1.0,13.8,61.77,61.77,61.77,61.97,1,0,0,0,0
000737,14.68,-0.2,0,780405696.0,0.0,2.45,14.8,14.44,14.69,14.71,1.0,15.96,15.29,15.27,21.5,16.18,1,0,0,0,0
000751,5.11,-2.85,0,335394908.6666666,0.0,3.99,5.28,5.07,5.23,5.26,1.0,12.06,5.77,5.61,7.81,5.79,1,0,0,0,0
000818,12.71,-1.63,0,204615411.0,0.0,3.56,13.09,12.63,12.95,12.92,1.0,-1.4,16.78,14.29,25.9,14.21,0,0,0,0,0
000811,36.52,10.0,1,347706920.0,0.0,0.0,36.52,36.52,36.52,33.2,1.0,16.19,38.46,34.78,38.46,36.52,1,0,1,1,1
000792,30.87,-0.9,0,2389149760.666667,0.0,3.34,31.55,30.51,31.28,31.15,1.0,6.34,33.47,32.78,41.6,34.27,0,0,0,0,0
000758,6.96,-2.11,0,400499400.0,0.0,3.09,7.13,6.91,7.09,7.11,1.0,9.43,7.27,7.27,9.53,7.82,1,0,0,0,0
000807,25.0,-1.5,0,2135837880.0,0.0,3.55,25.57,24.67,25.47,25.38,1.0,-5.02,31.78,30.48,37.85,27.92,0,0,0,0,0
000790,3.7,0.0,0,66939661.33333334,0.0,5.41,3.73,3.53,3.71,3.7,1.0,1.09,4.48,3.97,4.79,4.07,0,0,0,0,0
000837,12.03,-3.61,0,405976455.0,0.0,4.17,12.47,11.95,12.33,12.48,1.0,-4.14,13.6,13.6,13.7,13.73,0,0,0,0,0
000779,7.75,0.26,0,66194743.333333336,0.0,2.85,7.79,7.57,7.69,7.73,1.0,1.97,8.07,7.94,10.96,8.5,0,0,0,0,0
000901,18.26,-1.24,0,334836828.0,0.0,3.24,18.71,18.11,18.42,18.49,1.0,2.53,22.05,19.28,35.4,20.34,0,0,0,0,0
