代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近5日最高,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000790,3.66,-1.08,0,48409878.66666667,0.0,4.05,3.73,3.58,3.7,3.7,1.0,-3.17,3.97,4.52,4.12,4.79,4.07,0,0,0,0,0
000733,51.08,-2.13,0,1862427588.6666667,0.0,6.02,53.12,49.98,51.05,52.19,1.0,-5.27,61.77,61.77,61.77,61.77,57.41,1,0,0,0,0
000725,5.974,-7.58,0,19566743544.266666,0.0,6.81,6.324,5.884,6.284,6.464,1.0,7.95,6.71,6.71,6.71,6.71,7.11,1,0,0,0,0
000807,25.0,-1.5,0,2135837880.0,0.0,3.55,25.57,24.67,25.47,25.38,1.0,-5.02,28.8,31.78,30.48,37.85,27.92,0,0,0,0,0
000823,17.87,-3.92,0,1896242016.0,0.0,6.67,18.97,17.73,18.1,18.6,1.0,5.24,18.79,18.79,18.79,18.79,20.46,0,0,0,0,0
000837,12.55,-5.28,0,709819707.9999999,0.0,5.43,13.18,12.46,13.1,13.25,1.0,9.8,13.6,13.6,13.6,13.7,14.58,0,0,0,0,0
000811,31.43,-2.21,0,953170492.0,0.0,4.39,32.68,31.27,32.12,32.14,1.0,-1.04,33.21,38.46,35.88,38.46,35.35,1,1,0,0,0
000818,12.89,-2.13,0,200242858.66666666,0.0,4.48,13.34,12.75,12.91,13.17,1.0,-8.13,14.29,18.4,15.75,25.9,14.49,0,0,0,0,0
000878,15.96,-1.6,0,541449549.0,0.0,2.4,16.11,15.72,15.9,16.22,1.0,-15.29,19.17,20.92,19.22,29.24,17.84,0,0,0,0,0
000938,25.855,-1.75,0,3088989271.5,0.0,5.02,26.905,25.585,25.835,26.315,1.0,-8.17,29.82,34.42,30.43,34.42,28.95,0,0,0,0,0
000887,21.25,-2.52,0,1421795591.9999998,0.0,5.23,22.18,21.04,21.5,21.8,1.0,2.11,22.61,22.61,22.61,24.1,23.98,0,0,0,0,0
000923,13.38,-0.74,0,144666674.0,0.0,2.37,13.44,13.12,13.29,13.48,1.0,-11.57,15.5,17.98,16.37,26.38,14.83,0,0,0,0,0
000960,33.97,-4.15,0,2444530072.0000005,0.0,3.53,34.45,33.2,33.86,35.44,1.0,-22.35,44.96,44.96,44.96,48.55,38.98,1,0,0,0,0
000933,26.25,-0.19,0,1283579080.0,0.0,4.56,26.5,25.3,25.62,26.3,1.0,-14.55,30.99,32.56,31.7,38.69,28.93,0,0,0,0,0
000973,15.83,-1.37,0,1114893658.6666667,0.0,4.3,16.35,15.66,15.77,16.05,1.0,9.04,16.36,17.41,16.36,22.24,17.66,0,0,0,0,0
000967,10.08,-1.27,0,1052502717.3333333,0.0,6.56,10.3,9.63,10.04,10.21,1.0,-9.11,11.64,15.51,11.8,17.09,11.23,0,0,0,0,0
000833,25.54,4.12,0,1760292572.9999998,0.0,8.68,26.44,24.31,24.4,24.53,1.0,11.82,24.83,29.8,24.83,31.54,26.98,1,0,0,0,0
000975,20.25,-2.36,0,828099906.6666666,0.0,2.56,20.58,20.05,20.34,20.74,1.0,-11.26,23.1,28.39,25.5,41.81,22.81,0,0,0,0,0
000983,7.17,-3.89,0,650682085.0,0.0,5.09,7.5,7.12,7.38,7.46,1.0,-5.03,8.07,8.07,8.07,8.07,8.21,0,0,0,0,0
000988,148.752,-4.21,0,7832327236.933334,0.0,3.94,152.882,146.762,152.552,155.282,1.0,-3.5,165.62,175.55,170.74,175.55,170.81,0,0,0,0,0
001257,22.93,-1.33,0,368733026.0,0.0,3.74,23.14,22.27,22.91,23.24,1.0,-9.55,25.89,29.48,29.48,30.0,25.56,1,0,0,0,0
001212,48.24,-2.92,0,314430344.0,0.0,4.39,49.58,47.4,49.07,49.69,1.0,-12.12,55.18,60.29,56.86,60.29,54.66,1,0,0,0,0
001301,87.7,-2.56,0,379906538.00000006,0.0,8.3,94.47,87.0,89.32,90.0,1.0,-9.98,98.3,98.3,98.3,109.7,99.0,0,0,0,0,0
000901,17.81,-2.36,0,277425080.0,0.0,3.78,18.34,17.65,18.1,18.24,1.0,-5.32,19.28,23.99,20.41,35.4,20.06,0,0,0,0,0
001306,61.89,-3.6,0,47811120.00000001,0.0,5.87,64.81,61.04,63.48,64.2,1.0,2.96,66.3,77.13,70.7,93.48,70.62,0,0,0,0,0
001270,129.4,-5.37,0,971221590.6666669,0.0,7.7,138.3,127.77,135.02,136.75,1.0,-5.48,142.39,166.18,166.18,167.17,150.43,1,0,0,0,0
001203,39.3,-1.82,0,1036296986.6666667,0.0,6.89,41.33,38.57,39.6,40.03,1.0,4.97,40.65,46.8,41.58,54.65,44.03,0,0,0,0,0
001389,181.4,-4.15,0,1473016878.6666667,0.0,5.57,189.39,178.85,189.39,189.25,1.0,2.17,190.68,199.74,199.74,199.74,208.18,0,0,0,0,0
001339,100.03,-0.45,0,596850956.0,0.0,4.43,102.75,98.3,99.5,100.48,1.0,-1.7,105.72,119.9,112.39,119.9,110.53,0,0,0,0,0
002009,21.11,-6.76,0,575314202.6666667,0.0,6.85,22.46,20.91,22.2,22.64,1.0,-0.33,24.03,29.96,24.5,38.0,24.9,0,0,0,0,0
002028,175.0,-4.53,0,1901281629.3333333,0.0,4.65,180.8,172.28,180.8,183.3,1.0,-9.85,204.27,219.81,219.81,239.12,201.63,0,0,0,0,0
001359,95.9,-4.2,0,284238801.0,0.0,4.59,99.35,94.76,98.0,100.1,1.0,4.6,100.3,114.9,108.9,114.9,110.11,0,0,0,0,0
002025,62.41,1.71,0,1325122618.0,0.0,5.59,63.32,59.89,61.02,61.36,1.0,-4.34,69.9,78.93,76.3,83.63,67.5,0,0,0,0,0
002006,15.2,-5.0,0,161541449.33333334,0.0,6.0,15.94,14.98,15.85,16.0,1.0,-4.22,16.54,19.3,18.54,25.05,17.6,0,0,0,0,0
002031,6.1,-8.68,0,1101957713.6666665,0.0,7.63,6.6,6.09,6.6,6.68,1.0,-1.13,7.05,8.8,7.31,8.82,7.35,0,0,0,0,0
002042,3.759,0.0,0,121842194.83333333,0.0,3.99,3.869,3.719,3.749,3.759,1.0,-5.53,4.07,5.31,4.64,5.59,4.13,0,0,0,0,0
002046,58.984,-9.02,0,2129037475.9999998,0.0,9.19,64.294,58.334,64.294,64.834,1.0,3.87,66.08,66.08,66.08,66.08,71.32,1,0,0,0,0
002004,4.301,2.14,0,93120059.89999998,0.0,3.32,4.321,4.181,4.201,4.211,1.0,0.0,4.34,4.66,4.4,5.83,4.63,0,0,0,0,0
002050,45.36,-4.49,0,5116454385.000001,0.0,4.49,47.31,45.18,46.98,47.49,1.0,0.62,49.36,56.0,53.48,60.77,52.24,0,0,0,0,0
002029,8.08,-2.3,0,135136820.00000003,0.0,5.32,8.48,8.04,8.27,8.27,1.0,-5.28,8.82,11.43,8.97,14.85,9.1,0,0,0,0,0
002068,10.16,-2.59,0,461212923.00000006,0.0,9.11,11.1,10.15,10.65,10.43,1.0,-3.15,11.09,11.09,11.09,11.5,11.47,1,0,0,0,0
001223,45.76,-5.22,0,210413851.3333333,0.0,9.47,49.1,44.53,47.61,48.28,1.0,-0.95,49.26,52.34,49.26,52.34,53.11,1,0,0,0,0
002077,16.25,-0.37,0,436159207.0,0.0,6.01,16.95,15.97,16.01,16.31,1.0,-4.75,17.51,19.38,19.38,20.39,17.94,0,0,0,0,0
002049,73.0,-0.92,0,1763871448.0,0.0,4.61,75.33,71.93,72.75,73.68,1.0,-5.31,78.92,89.53,89.53,91.99,81.05,0,0,0,0,0
002074,28.78,-3.03,0,662725546.9999999,0.0,3.74,29.56,28.45,29.33,29.68,1.0,-9.58,32.46,38.38,35.28,45.07,32.65,0,0,0,0,0
002080,62.8,-2.91,0,3456500301.333333,0.0,5.69,65.55,61.87,64.68,64.68,1.0,-1.29,67.31,76.63,76.63,76.63,71.15,1,1,0,0,0
002079,12.0,0.59,0,493348203.0,0.0,5.11,12.14,11.53,11.72,11.93,1.0,-1.8,13.0,14.16,14.16,14.16,13.12,0,0,0,0,0
002081,5.94,10.0,1,841724910.0,0.0,12.04,5.94,5.29,5.33,5.4,1.0,-11.61,7.3,8.47,7.3,8.47,5.94,1,0,1,1,0
002083,8.683,-2.36,0,148090938.29999998,0.0,2.92,8.883,8.623,8.803,8.893,1.0,-8.34,9.6,10.77,10.11,14.46,9.78,0,0,0,0,0
002108,4.68,0.0,0,144596276.0,0.0,2.78,4.73,4.6,4.64,4.68,1.0,-3.51,4.92,6.36,5.18,6.44,5.15,0,0,0,0,0
002091,7.5,-3.35,0,129953529.33333333,0.0,2.71,7.67,7.46,7.67,7.76,1.0,-13.79,8.77,9.26,8.77,10.63,8.54,0,0,0,0,0
002115,11.59,-3.66,0,420218994.66666675,0.0,4.9,12.06,11.47,11.9,12.03,1.0,-4.29,12.68,15.3,13.17,21.0,13.23,0,0,0,0,0
002112,16.55,-3.33,0,199500868.66666666,0.0,4.26,17.0,16.27,17.0,17.12,1.0,-8.41,18.29,23.25,19.4,28.55,18.83,0,0,0,0,0
002106,13.11,-0.23,0,644771393.3333334,0.0,6.16,13.64,12.83,12.91,13.14,1.0,6.33,13.96,13.96,13.96,13.96,14.45,0,0,0,0,0
002129,10.13,3.26,0,4808401920.0,0.0,4.99,10.3,9.81,10.0,9.81,1.0,10.95,9.81,10.61,10.61,11.86,10.79,1,1,0,0,0
002125,18.665,10.09,1,1601586533.1666665,0.0,12.98,18.665,16.465,16.525,16.955,1.0,12.88,17.34,17.34,17.34,17.34,18.65,1,0,1,1,0
002126,46.97,-5.02,0,796271093.3333334,0.0,4.79,49.17,46.8,49.01,49.45,1.0,-3.85,51.68,61.88,57.24,61.88,54.4,0,0,0,0,0
002155,22.68,-3.08,0,844770441.3333333,0.0,3.16,22.94,22.2,22.51,23.4,1.0,-9.93,25.47,29.48,25.59,43.37,25.74,0,0,0,0,0
002150,25.44,-3.78,0,264625236.00000003,0.0,3.93,26.14,25.1,26.14,26.44,1.0,-12.94,31.28,36.2,36.2,39.41,29.08,0,0,0,0,0
002121,6.23,-5.46,0,244583171.99999997,0.0,6.68,6.57,6.13,6.57,6.59,1.0,-13.35,7.57,8.78,8.78,10.74,7.25,0,0,0,0,0
002139,9.97,-2.64,0,220938329.33333334,0.0,3.71,10.2,9.82,10.13,10.24,1.0,-0.2,10.48,11.75,11.5,14.58,11.26,0,0,0,0,0
002185,19.05,6.9,0,9648754727.0,0.0,9.76,19.19,17.45,17.5,17.82,1.0,8.13,18.05,21.94,20.08,21.94,19.6,0,0,0,0,0
002192,79.19,0.38,0,2123498982.6666667,0.0,4.63,81.5,77.85,79.08,78.89,1.0,0.16,80.83,102.78,87.2,115.0,86.78,0,0,0,0,0
002176,11.13,0.72,0,1887953023.0,0.0,9.41,11.95,10.91,10.98,11.05,1.0,-1.15,11.58,14.88,12.66,16.97,12.16,0,0,0,0,0
002229,14.85,1.78,0,696897135.0,0.0,4.66,15.19,14.51,14.7,14.59,1.0,4.21,15.08,19.16,15.08,20.18,16.05,1,0,0,0,0
002167,13.81,-0.65,0,937261714.3333335,0.0,3.88,14.25,13.71,14.11,13.9,1.0,-6.25,14.73,14.73,14.73,16.6,15.29,1,0,0,0,0
002254,17.2,-8.46,0,2405812178.666667,0.0,9.05,18.61,16.91,18.61,18.79,1.0,25.73,18.79,18.79,18.79,18.79,20.67,1,1,0,0,0
002240,47.7,1.75,0,4395102360.0,0.0,4.22,49.08,47.1,47.7,46.88,1.0,8.88,46.88,57.32,49.99,63.13,51.57,1,1,0,0,0
002263,4.0,-0.74,0,1140266428.0,0.0,4.96,4.19,3.99,4.16,4.03,1.0,5.82,4.03,4.24,4.07,5.35,4.43,1,1,0,0,0
002290,80.91,-1.58,0,650366720.0,0.0,7.49,85.95,79.79,80.79,82.21,1.0,-9.15,91.79,108.7,102.59,108.7,90.43,0,0,0,0,0
002270,19.02,-3.35,0,267641416.6666667,0.0,4.27,19.66,18.82,19.42,19.68,1.0,-7.71,21.12,26.48,24.15,37.8,21.65,0,0,0,0,0
002324,11.906,-0.25,0,276110596.7333333,0.0,3.52,12.126,11.706,11.756,11.936,1.0,-1.57,12.44,15.44,13.39,25.61,13.13,0,0,0,0,0
002338,50.59,-2.15,0,258179784.00000003,0.0,3.85,52.29,50.3,51.12,51.7,1.0,-5.95,55.0,67.89,64.82,68.93,56.87,0,0,0,0,0
002156,61.44,-4.64,0,6915073061.0,0.0,5.45,63.67,60.16,62.0,64.43,1.0,-12.5,72.5,78.48,78.48,78.48,70.87,1,0,0,0,0
002202,21.25,-3.41,0,2268066448.9999995,0.0,5.73,22.29,21.03,22.0,22.0,1.0,-10.0,24.03,28.0,24.96,37.03,24.2,0,0,0,0,0
002340,7.02,0.0,0,656500844.0,0.0,2.56,7.09,6.91,6.96,7.02,1.0,-8.59,7.81,9.04,8.42,10.18,7.72,0,0,0,0,0
002326,21.9,-4.45,0,850996986.6666665,0.0,5.63,23.17,21.88,22.6,22.92,1.0,-0.23,23.95,24.84,23.95,33.0,25.21,0,0,0,0,0
002371,619.2,0.34,0,6664992057.666666,0.0,5.03,641.01,610.0,615.0,617.1,1.0,0.71,637.85,721.6,692.0,721.6,678.81,0,0,0,0,0
002281,202.6,-3.62,0,8417759822.333334,0.0,3.94,207.5,199.21,203.8,210.22,1.0,-9.55,238.67,246.8,238.67,246.8,231.24,0,0,0,0,0
002384,212.27,-5.41,0,14886379930.666668,0.0,7.64,227.98,210.83,216.59,224.4,1.0,-5.23,244.7,244.7,244.7,244.7,246.84,1,0,0,0,0
002353,144.8,-4.37,0,6827147263.999998,0.0,8.4,149.0,136.28,147.5,151.42,1.0,-1.76,162.28,162.28,162.28,162.28,166.56,1,0,0,0,0
002392,7.48,-1.84,0,162613166.6666667,0.0,4.46,7.69,7.35,7.6,7.62,1.0,-5.56,8.11,11.33,8.88,11.33,8.38,0,0,0,0,0
002402,24.09,-2.86,0,580082916.6666667,0.0,4.03,24.9,23.9,24.59,24.8,1.0,-6.92,26.58,33.38,30.4,57.3,27.28,0,0,0,0,0
002413,10.03,-1.86,0,614358444.0,0.0,6.36,10.57,9.92,10.17,10.22,1.0,-5.11,10.85,13.63,11.24,20.29,11.24,0,0,0,0,0
002409,122.55,10.0,1,3927581779.9999995,0.0,13.87,122.55,107.1,107.95,111.41,1.0,7.69,120.0,127.84,127.17,127.84,122.55,0,0,1,1,0
002428,80.22,-5.26,0,4625558166.666666,0.0,4.87,83.2,79.08,81.69,84.67,1.0,-9.86,92.81,105.17,97.0,105.17,93.14,1,0,0,0,0
002378,30.57,0.53,0,2113990897.3333333,0.0,6.64,31.32,29.3,29.79,30.41,1.0,-0.88,31.58,34.45,31.58,48.42,33.45,0,0,0,0,0
002407,34.72,2.3,0,5332770148.999999,0.0,6.75,35.34,33.05,33.2,33.94,1.0,4.36,34.79,43.89,37.28,43.89,37.33,0,0,0,0,0
002436,37.28,-2.28,0,5869438945.999999,0.0,9.59,39.96,36.3,38.19,38.15,1.0,-6.38,42.6,42.6,42.6,42.6,41.97,0,0,0,0,0
001379,17.08,-2.51,0,34337730.0,0.0,4.28,17.56,16.81,17.3,17.52,1.0,-8.22,19.19,22.48,20.88,26.75,19.27,0,0,0,0,0
002453,5.42,-1.09,0,94102945.0,0.0,4.2,5.59,5.36,5.43,5.48,1.0,-4.58,5.81,6.63,6.25,8.47,6.03,0,0,0,0,0
002466,59.48,-0.88,0,4237577504.9999995,0.0,5.22,61.6,58.47,59.5,60.01,1.0,-2.46,61.97,76.2,67.8,82.49,66.01,0,0,0,0,0
002463,130.6,-7.43,0,13830496987.66667,0.0,6.92,136.99,127.22,136.0,141.09,1.0,0.62,142.78,142.78,142.78,142.78,155.2,0,0,0,0,0
