代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近5日最高,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000301,11.59,-5.54,0,325722238.66666675,0.0,5.46,12.13,11.46,12.1,12.27,1.0,-0.17,12.91,12.91,12.91,14.7,13.5,0,0,0,0,0
000060,8.01,0.5,0,2015125928.666667,0.0,5.4,8.28,7.85,8.04,7.97,1.0,11.72,8.22,8.44,8.22,9.22,8.77,0,0,0,0,0
000070,20.73,0.34,0,2235050986.6666665,0.0,4.21,21.2,20.33,20.76,20.66,1.0,17.32,20.83,20.83,20.83,22.5,22.73,1,0,0,0,0
000408,76.42,-0.98,0,1165874968.0000002,0.0,5.61,79.44,75.11,76.26,77.18,1.0,0.54,83.6,84.59,83.6,95.78,84.9,0,0,0,0,0
000021,44.04,2.63,0,8332156682.333334,0.0,9.02,46.18,42.31,42.85,42.91,1.0,14.87,42.96,46.81,42.96,46.81,47.2,0,0,0,0,0
000066,17.84,0.17,0,5712324453.000001,0.0,5.78,18.38,17.35,17.46,17.81,1.0,13.7,17.98,22.4,18.35,25.74,19.59,0,0,0,0,0
000032,24.6,5.94,0,3604802611.6666665,0.0,9.95,25.54,23.23,23.35,23.22,1.0,43.02,23.72,23.72,23.72,24.16,25.54,1,0,0,0,0
000333,78.0,-1.54,0,2852248124.0,0.0,2.13,79.49,77.8,79.23,79.22,1.0,-8.61,85.9,85.9,85.9,85.9,87.14,0,0,0,0,0
000510,22.1,0.36,0,1207209738.0,0.0,4.18,22.38,21.46,21.93,22.02,1.0,25.5,23.28,23.28,23.28,23.5,24.22,1,0,0,0,0
000063,37.89,0.66,0,8253366417.333335,0.0,4.33,38.64,37.01,37.41,37.64,1.0,0.21,39.5,41.3,41.3,47.77,41.4,0,0,0,0,0
000155,12.87,-3.52,0,458686787.9999999,0.0,3.67,13.34,12.85,13.21,13.34,1.0,-1.38,13.69,16.15,13.95,19.34,14.67,0,0,0,0,0
000551,15.63,2.76,0,341650786.66666675,0.0,4.14,15.65,15.02,15.18,15.21,1.0,4.27,15.72,18.05,15.72,18.35,16.73,0,0,0,0,0
000612,11.03,0.55,0,439610989.99999994,0.0,4.74,11.32,10.8,11.0,10.97,1.0,4.25,11.75,12.53,11.94,15.28,12.07,0,0,0,0,0
000570,5.04,-1.56,0,52889193.66666666,0.0,2.54,5.13,5.0,5.11,5.12,1.0,-1.37,5.34,6.33,5.63,6.93,5.63,0,0,0,0,0
000426,39.57,-2.56,0,3047341647.6666665,0.0,5.81,41.16,38.8,40.6,40.61,1.0,9.76,41.36,43.94,41.75,74.8,44.67,0,0,0,0,0
000657,98.48,10.0,1,8710669338.000002,0.0,10.87,98.48,88.75,88.75,89.53,1.0,26.34,94.14,94.14,94.14,94.14,98.48,1,0,1,1,0
000547,19.72,-1.65,0,1880495000.9999998,0.0,3.64,20.15,19.42,19.9,20.05,1.0,5.06,20.8,24.76,21.49,40.65,22.06,1,0,0,0,0
000630,7.65,1.19,0,6577236824.999999,0.0,8.47,8.02,7.38,7.39,7.56,1.0,18.6,7.71,7.71,7.71,9.14,8.32,1,0,0,0,0
000586,15.26,-1.48,0,113991760.66666667,0.0,3.16,15.63,15.14,15.5,15.49,1.0,4.59,15.86,19.79,17.8,25.12,17.04,0,0,0,0,0
000737,15.11,2.93,0,1656559267.9999998,0.0,7.29,15.52,14.45,14.45,14.68,1.0,18.05,15.09,15.29,15.09,21.5,16.15,1,0,0,0,0
