排名,代码,名称,所属板块,总得分,TOP综合分,涨停率%,成交额,D1涨停,D2强度,D3突破,D4封板,D5暗线,D6量能,D7一致,D8活跃,概念叠加分
1,601636,旗滨集团,芯片封装测试,31,21,10.03,0.01,8,6,5,3,0,5,0,3,0
2,600110,诺德股份,铜箔,31,21,-9.02,0.32,8,6,5,3,0,5,0,3,0
3,688549,芯原股份-U,G5其他,30,20,13.62,1.19,8,6,5,3,0,5,0,3,0
4,002080,中材科技,电池材料,30,20,3.76,0.01,8,6,5,3,0,5,0,3,0
5,603738,泰晶科技,光模块,22,12,8.04,0.03,8,6,5,3,0,0,0,0,0
