代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000878,18.23,5.56,0,1871612292.0000002,0.0,5.67,18.27,17.29,17.47,17.27,1.0,14.15,19.47,19.22,29.24,19.0,0,0,0,0,0
000779,7.69,0.0,0,64277453.333333336,0.0,2.73,7.82,7.61,7.77,7.69,1.0,2.26,8.35,7.94,10.96,8.46,0,0,0,0,0
000901,18.38,0.49,0,358776989.99999994,0.0,2.3,18.47,18.05,18.28,18.29,1.0,0.55,22.66,19.28,35.4,20.12,0,0,0,0,0
000887,22.35,9.94,1,1916691770.666667,0.0,9.3,22.36,20.47,20.49,20.33,1.0,2.66,22.61,22.61,24.1,22.36,0,0,1,1,0
000837,12.35,1.23,0,430837002.6666666,0.0,3.2,12.4,12.01,12.2,12.2,1.0,-2.53,13.6,13.6,13.7,13.42,0,0,0,0,0
000923,13.91,-1.7,0,157240215.0,0.0,3.39,14.21,13.73,14.11,14.15,1.0,3.19,16.37,15.85,26.38,15.57,0,0,0,0,0
000823,20.09,10.02,1,1438093800.0,0.0,9.69,20.09,18.32,18.32,18.26,1.0,17.55,20.33,20.33,20.33,20.09,0,0,1,1,0
000933,26.44,-3.19,0,2359080941.3333335,0.0,6.3,27.95,26.23,27.88,27.31,1.0,-1.2,31.7,31.24,38.69,30.04,0,0,0,0,0
000938,26.48,4.73,0,3561597013.333334,0.0,4.9,26.58,25.34,25.37,25.285,1.0,-4.77,33.9,30.43,34.42,27.81,0,0,0,0,0
000960,41.42,10.01,1,5286455224.0,0.0,7.22,41.42,38.7,38.88,37.65,1.0,18.31,44.96,44.96,48.55,41.41,1,0,1,1,0
000967,10.34,4.97,0,1058981322.6666666,0.0,4.47,10.34,9.9,9.95,9.85,1.0,1.67,13.63,11.64,17.09,10.84,0,0,0,0,0
000807,26.9,-4.27,0,3401096171.0,0.0,7.86,28.75,26.54,28.45,28.1,1.0,-1.32,31.78,30.48,37.85,30.91,0,0,0,0,0
000973,15.28,1.46,0,1398101491.0,0.0,3.52,15.52,14.99,15.18,15.06,1.0,9.94,17.75,15.33,22.24,16.57,0,0,0,0,0
000975,22.15,4.93,0,1507801363.9999998,0.0,3.32,22.59,21.89,22.04,21.11,1.0,9.11,25.59,23.14,41.81,23.22,0,0,0,0,0
000725,5.864,6.35,0,17450198201.466667,0.0,5.08,5.954,5.674,5.684,5.514,1.0,-5.94,6.71,6.71,6.71,6.07,1,0,0,0,0
