代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000032,17.815,2.89,0,512882120.8333332,0.0,4.39,18.155,17.395,17.395,17.315,1.0,-0.45,19.2,19.02,24.16,19.05,0,0,0,0,0
000063,38.25,4.22,0,8292822906.666668,0.0,4.5,39.1,37.45,37.51,36.7,1.0,5.14,37.78,37.78,47.77,40.37,0,0,0,0,0
000301,13.35,0.6,0,445178755.6666667,0.0,2.26,13.43,13.13,13.29,13.27,1.0,7.23,13.48,13.48,14.7,14.6,0,0,0,0,0
000066,21.8,9.99,1,847300600.0,0.0,0.0,21.8,21.8,21.8,19.82,1.0,32.52,19.82,19.82,19.82,21.8,1,1,0,2,1
000027,7.04,2.92,0,361012416.0,0.0,3.51,7.04,6.8,6.88,6.84,1.0,1.59,7.1,7.1,8.48,7.52,0,0,0,0,0
000060,7.43,10.07,1,1947925400.0,0.0,10.07,7.43,6.75,6.78,6.75,1.0,14.48,6.97,6.97,9.22,7.43,0,0,1,1,0
000021,30.5,5.17,0,3851339006.666667,0.0,4.07,31.16,29.98,29.98,29.0,1.0,6.53,29.66,29.66,35.75,31.9,0,0,0,0,0
000009,8.74,1.04,0,374102600.6666667,0.0,2.54,8.83,8.61,8.65,8.65,1.0,-1.8,9.32,9.32,11.9,9.52,0,0,0,0,0
000408,90.18,1.03,0,1410197150.6666665,0.0,3.55,90.5,87.33,89.89,89.26,1.0,-0.08,92.4,92.4,95.78,98.19,0,0,0,0,0
000338,34.32,10.0,1,4210388206.666667,0.0,0.99,34.32,34.01,34.18,31.2,1.0,15.99,32.66,32.66,32.66,34.32,0,0,1,1,1
000534,40.8,3.21,0,1089850351.0,0.0,7.01,41.4,38.63,39.58,39.53,1.0,-7.19,46.6,46.3,49.14,43.48,0,0,0,0,0
000533,13.34,5.62,0,888670997.0000001,0.0,5.3,13.4,12.73,12.8,12.63,1.0,0.38,16.78,16.78,21.84,13.89,0,0,0,0,0
000510,15.45,9.26,0,922556719.9999999,0.0,10.82,15.52,13.99,14.11,14.14,1.0,12.36,15.85,15.44,23.5,15.55,0,0,0,0,0
