代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000063,38.92,-0.89,0,5183372044.0,0.0,2.29,39.42,38.52,39.37,39.27,1.0,3.84,43.6,39.4,47.77,43.2,0,0,0,0,0
000060,6.27,0.48,0,1292947239.9999998,0.0,2.88,6.39,6.21,6.26,6.24,1.0,8.67,6.31,6.31,6.31,6.86,0,0,0,0,0
000301,10.76,-1.19,0,193036029.33333334,0.0,1.84,10.9,10.7,10.8,10.89,1.0,-2.09,11.5,11.5,11.5,11.98,0,0,0,0,0
000066,14.79,-1.27,0,920611735.6666667,0.0,2.27,15.04,14.7,14.99,14.98,1.0,2.92,15.08,15.08,16.88,16.48,0,0,0,0,0
000032,20.935,0.05,0,706880397.1666666,0.0,3.06,21.355,20.715,20.925,20.925,1.0,6.24,21.36,21.36,21.86,23.02,0,0,0,0,0
000155,12.35,-0.8,0,440346512.0000001,0.0,2.25,12.58,12.3,12.45,12.45,1.0,4.93,12.61,12.61,14.51,13.7,0,0,0,0,0
000009,10.11,-0.59,0,318140616.0,0.0,2.06,10.27,10.06,10.21,10.17,1.0,1.4,10.49,10.28,11.9,11.19,0,0,0,0,0
000070,12.0,0.42,0,638429132.0,0.0,2.26,12.12,11.85,11.86,11.95,1.0,-1.15,15.82,12.94,15.82,13.14,1,0,0,0,0
000021,26.53,-0.52,0,3868258261.0,0.0,5.85,27.85,26.29,27.69,26.67,1.0,9.45,26.98,26.98,27.95,29.34,0,0,0,0,0
000027,6.61,-0.45,0,118686159.33333334,0.0,0.9,6.66,6.6,6.64,6.64,1.0,-0.45,6.81,6.81,7.24,7.3,0,0,0,0,0
000333,79.37,0.67,0,3175681189.333333,0.0,1.93,79.58,78.06,78.99,78.84,1.0,1.22,83.1,80.5,83.17,86.72,0,0,0,0,0
000426,42.14,4.59,0,4173171296.0,0.0,7.94,43.95,40.75,41.0,40.29,1.0,14.54,40.91,40.91,40.91,44.32,1,0,0,0,0
000408,89.654,-0.96,0,1258236231.4666665,0.0,3.63,91.994,88.704,90.314,90.524,1.0,10.58,92.08,92.08,92.08,99.58,0,0,0,0,0
000533,8.87,3.62,0,756250647.9999999,0.0,6.78,9.1,8.52,8.56,8.56,1.0,3.26,9.5,9.5,10.54,9.42,0,0,0,0,0
