代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000063,38.49,-2.58,0,4005684488.666667,0.0,2.3,39.18,38.27,39.0,39.51,1.0,-4.04,42.82,40.74,47.77,43.46,0,0,0,0,0
000027,6.8,-0.29,0,183211094.0,0.0,2.79,6.85,6.66,6.81,6.82,1.0,-2.16,7.19,7.16,7.24,7.5,0,0,0,0,0
000070,11.9,5.12,0,1025116696.6666665,0.0,10.16,12.15,11.0,11.14,11.32,1.0,1.54,13.3,12.61,15.82,12.45,0,0,0,0,0
000301,13.22,3.04,0,730386800.0,0.0,6.24,13.29,12.49,12.68,12.83,1.0,9.44,13.22,13.22,13.22,14.11,0,0,0,0,0
000032,20.785,-2.81,0,681428218.3333334,0.0,5.1,21.635,20.545,21.345,21.385,1.0,-4.55,24.16,22.57,24.16,23.52,0,0,0,0,0
000021,32.27,4.54,0,5547562526.000001,0.0,8.75,33.16,30.46,30.87,30.87,1.0,6.33,33.52,33.52,33.52,33.96,0,0,0,0,0
000066,15.87,-3.35,0,2468282526.666666,0.0,3.9,16.33,15.69,16.2,16.42,1.0,-13.23,19.6,19.6,19.6,18.06,1,0,0,0,0
000009,9.61,-4.28,0,604864059.0,0.0,4.78,10.0,9.52,9.95,10.04,1.0,-7.68,10.52,10.52,11.9,11.04,0,0,0,0,0
000060,7.7,-9.94,0,2773039166.6666665,0.0,4.68,8.1,7.7,8.02,8.55,1.0,-1.16,9.22,9.22,9.22,9.41,1,0,0,0,0
000338,23.74,2.2,0,2793072441.666667,0.0,4.86,23.92,22.79,23.07,23.23,1.0,1.02,25.72,25.72,25.72,25.55,0,0,0,0,0
000408,84.804,-5.58,0,2420075918.0666666,0.0,7.45,87.994,81.304,87.504,89.814,1.0,-7.82,95.78,95.78,95.78,98.8,0,0,0,0,0
000510,16.17,-2.77,0,1672197584.0,0.0,9.08,17.39,15.88,15.92,16.63,1.0,-13.3,20.65,20.65,20.65,18.29,1,0,0,0,0
000426,61.52,-10.01,0,4794263397.000001,0.0,3.73,64.07,61.52,61.52,68.36,1.0,6.29,74.8,74.8,74.8,75.2,1,0,0,0,0
000333,77.59,-0.37,0,4153384897.3333335,0.0,2.05,79.0,77.4,77.6,77.88,1.0,1.05,80.5,79.37,83.17,85.67,0,0,0,0,0
000539,4.89,0.0,0,118693800.0,0.0,2.25,4.93,4.82,4.86,4.89,1.0,1.87,4.95,4.95,5.01,5.38,0,0,0,0,0
000155,12.43,-7.17,0,909837573.3333335,0.0,6.95,13.17,12.24,13.1,13.39,1.0,-11.97,14.27,14.27,14.51,14.73,0,0,0,0,0
000533,8.38,-2.78,0,241276560.0,0.0,4.64,8.61,8.21,8.55,8.62,1.0,-12.25,9.93,9.93,10.54,9.48,0,0,0,0,0
000547,28.48,4.78,0,9741679852.0,0.0,11.04,29.8,26.8,26.9,27.18,1.0,-3.2,40.65,30.94,40.65,29.9,0,0,0,0,0
000534,29.36,-5.01,0,663325680.0000001,0.0,7.6,30.93,28.58,30.89,30.91,1.0,7.94,33.33,33.33,33.33,34.0,1,0,0,0,0
000570,5.908,2.07,0,103266237.6,0.0,3.11,5.938,5.758,5.788,5.788,1.0,1.03,5.89,5.89,6.21,6.37,0,0,0,0,0
000685,12.35,-0.08,0,243332129.99999997,0.0,3.64,12.5,12.05,12.29,12.36,1.0,-1.75,12.79,12.79,13.74,13.6,0,0,0,0,0
