代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000032,17.315,-2.53,0,345716287.49999994,0.0,3.32,17.805,17.215,17.745,17.765,1.0,-5.36,19.2,19.18,24.16,19.54,0,0,0,0,0
000021,29.0,-0.03,0,2121495222.0,0.0,3.07,29.45,28.56,29.36,29.01,1.0,1.72,29.66,29.66,35.75,31.91,0,0,0,0,0
000027,6.84,-1.72,0,251144529.0,0.0,1.87,6.95,6.82,6.93,6.96,1.0,-3.25,7.1,7.1,8.48,7.66,0,0,0,0,0
000070,18.08,-6.47,0,1653796912.0,0.0,7.6,19.5,18.03,19.36,19.33,1.0,-13.86,22.5,22.5,22.5,21.26,1,0,0,0,0
000009,8.65,-6.79,0,704894110.0,0.0,4.85,9.01,8.56,9.0,9.28,1.0,-2.59,9.32,9.32,11.9,10.21,0,0,0,0,0
000060,6.75,1.5,0,1038393043.3333334,0.0,3.16,6.88,6.67,6.68,6.65,1.0,4.01,6.97,6.97,9.22,7.32,0,0,0,0,0
000063,36.7,0.77,0,3582066774.0,0.0,3.1,36.83,35.7,36.21,36.42,1.0,-0.41,37.78,37.78,47.77,40.06,0,0,0,0,0
000155,17.42,-9.51,0,2980308586.6666665,0.0,6.34,18.55,17.33,18.3,19.25,1.0,4.12,19.34,19.34,19.34,21.18,0,0,0,0,0
000301,13.27,0.08,0,504492425.0,0.0,3.62,13.48,13.0,13.15,13.26,1.0,6.42,13.28,13.28,14.7,14.59,0,0,0,0,0
000066,19.82,9.99,1,8348037184.666666,0.0,7.94,19.82,18.39,19.0,18.02,1.0,22.42,18.2,18.2,19.6,19.82,0,0,1,1,0
000333,81.1,-0.26,0,2881067712.6666665,0.0,1.89,82.15,80.61,81.0,81.31,1.0,1.57,81.94,81.94,83.17,89.44,0,0,0,0,0
000426,42.38,-2.22,0,2842313746.666667,0.0,5.72,44.5,42.02,44.0,43.34,1.0,3.11,46.63,46.63,74.8,47.67,0,0,0,0,0
