代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000063,37.81,-1.59,0,9474690806.0,0.0,5.78,39.5,37.28,37.91,38.42,1.0,0.19,41.3,41.3,47.77,42.26,1,0,0,0,0
000009,6.85,-2.28,0,127445325.33333334,0.0,2.43,7.0,6.83,7.0,7.01,1.0,-3.39,8.32,7.54,11.9,7.71,0,0,0,0,0
000021,42.91,5.25,0,6935264177.333333,0.0,7.63,42.96,39.85,39.85,40.77,1.0,14.98,46.81,41.34,46.81,44.85,0,0,0,0,0
000032,17.2,9.97,1,605318682.0,0.0,11.13,17.2,15.46,15.8,15.64,1.0,5.13,21.32,18.41,24.16,17.2,0,0,1,1,0
000027,7.1,-0.84,0,280175583.3333333,0.0,3.21,7.19,6.96,7.09,7.16,1.0,-8.86,8.45,8.45,8.48,7.88,0,0,0,0,0
000301,11.61,-0.94,0,170471207.66666666,0.0,4.78,11.94,11.38,11.86,11.72,1.0,-0.09,13.47,12.46,14.7,12.89,0,0,0,0,0
000066,15.69,-2.79,0,1874398829.3333333,0.0,3.66,16.11,15.52,15.96,16.14,1.0,-12.59,25.61,19.45,25.74,17.75,0,0,0,0,0
000408,76.01,1.9,0,963128880.0000001,0.0,5.08,77.29,73.5,74.0,74.59,1.0,-2.11,92.14,81.2,95.78,82.05,0,0,0,0,0
000333,85.35,1.73,0,4426131068.333334,0.0,2.98,85.9,83.4,83.66,83.9,1.0,3.55,84.88,84.88,84.88,92.29,0,0,0,0,0
000155,13.05,0.69,0,379431173.3333334,0.0,3.78,13.32,12.83,12.92,12.96,1.0,-4.04,16.31,14.65,19.34,14.26,0,0,0,0,0
000070,17.67,-2.97,0,1296830069.3333333,0.0,8.18,18.75,17.26,17.9,18.21,1.0,-4.64,21.9,20.38,22.5,20.03,0,0,0,0,0
000539,7.55,0.27,0,1042535812.0000001,0.0,6.77,7.87,7.36,7.46,7.53,1.0,-17.67,9.82,9.82,9.82,8.28,1,0,0,0,0
000534,29.42,2.37,0,744824064.0,0.0,6.33,30.04,28.22,28.46,28.74,1.0,-10.98,41.51,36.97,49.14,31.61,0,0,0,0,0
000060,7.17,3.17,0,1655063187.3333333,0.0,6.33,7.35,6.91,6.93,6.95,1.0,-8.08,8.44,8.44,9.22,7.65,0,0,0,0,0
000338,27.57,-2.2,0,3981035991.3333325,0.0,3.12,27.91,27.03,27.72,28.19,1.0,-18.29,36.34,36.34,36.34,31.01,0,0,0,0,0
000551,14.99,-0.66,0,190001820.0,0.0,2.72,15.06,14.65,15.0,15.09,1.0,-0.79,18.05,16.37,18.35,16.6,0,0,0,0,0
000570,5.11,-1.73,0,53135560.00000001,0.0,3.46,5.21,5.03,5.15,5.2,1.0,-7.09,6.72,5.73,6.93,5.72,0,0,0,0,0
000510,17.61,9.99,1,577574176.6666665,0.0,12.05,17.61,15.68,15.93,16.01,1.0,-8.42,20.08,20.08,23.5,17.61,1,0,1,1,0
000636,64.3,7.51,0,11573388837.0,0.0,10.52,65.79,59.5,60.01,59.81,1.0,1.26,64.59,64.59,64.59,65.79,1,0,0,0,0
000533,10.53,-1.59,0,276005986.6666667,0.0,2.71,10.68,10.39,10.56,10.7,1.0,-8.91,15.35,12.69,21.84,11.77,1,0,0,0,0
000665,4.09,-4.44,0,82928603.33333331,0.0,3.27,4.2,4.06,4.2,4.28,1.0,-1.92,4.98,4.7,7.21,4.71,0,0,0,0,0
000426,36.05,1.81,0,1797665613.3333333,0.0,3.98,36.58,35.17,35.31,35.41,1.0,-9.63,50.65,43.15,74.8,38.95,0,0,0,0,0
000657,77.95,6.93,0,10196181611.999998,0.0,10.12,79.6,72.22,72.8,72.9,1.0,4.87,74.81,74.81,74.81,80.19,0,0,0,0,0
000630,6.45,1.57,0,2609154496.0,0.0,5.35,6.63,6.29,6.38,6.35,1.0,-8.12,7.25,7.25,9.14,6.99,0,0,0,0,0
