代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000027,6.96,0.43,0,205517690.0,0.0,2.02,7.0,6.86,6.88,6.93,1.0,0.72,7.39,7.1,8.48,7.62,0,0,0,0,0
000155,19.25,5.08,0,2394416686.6666665,0.0,8.62,19.34,17.76,18.0,18.32,1.0,12.44,18.76,18.76,18.76,20.15,0,0,0,0,0
000070,19.33,0.42,0,1086356700.0,0.0,7.32,20.29,18.88,19.13,19.25,1.0,-9.04,22.5,22.5,22.5,21.18,1,0,0,0,0
000009,9.28,5.22,0,577056144.0,0.0,6.35,9.32,8.76,8.78,8.82,1.0,3.46,9.17,9.17,11.9,9.7,0,0,0,0,0
000032,17.765,-0.45,0,248789770.83333334,0.0,1.68,17.955,17.655,17.865,17.845,1.0,-3.48,19.2,19.2,24.16,19.63,0,0,0,0,0
000060,6.65,4.07,0,758598075.0,0.0,5.95,6.69,6.31,6.35,6.39,1.0,-2.35,6.97,6.97,9.22,7.03,0,0,0,0,0
000301,13.26,1.53,0,638144051.9999999,0.0,5.82,13.28,12.52,12.73,13.06,1.0,2.63,13.1,13.1,14.7,14.37,0,0,0,0,0
000021,29.01,2.22,0,2423177460.0,0.0,4.72,29.12,27.78,27.93,28.38,1.0,-0.79,29.66,29.66,35.75,31.22,0,0,0,0,0
000066,18.02,1.07,0,6283653328.333333,0.0,6.79,18.05,16.84,17.33,17.83,1.0,15.44,18.2,18.2,19.6,19.61,0,0,0,0,0
000063,36.42,1.14,0,3517398520.666667,0.0,3.94,36.99,35.57,35.82,36.01,1.0,-2.46,37.78,37.78,47.77,39.61,0,0,0,0,0
000333,81.31,1.07,0,2689700653.3333335,0.0,1.85,81.94,80.45,80.55,80.45,1.0,2.53,80.8,80.8,83.17,88.5,0,0,0,0,0
000510,13.94,5.61,0,624301880.0000001,0.0,9.32,14.23,13.0,13.07,13.2,1.0,-5.49,15.85,15.81,23.5,14.52,0,0,0,0,0
000533,13.15,0.69,0,570189904.6666667,0.0,3.37,13.2,12.76,12.93,13.06,1.0,-18.07,16.78,16.78,21.84,14.37,0,0,0,0,0
000547,24.06,2.38,0,2359834690.666666,0.0,3.4,24.24,23.44,23.5,23.5,1.0,-11.54,29.78,29.5,40.65,25.85,0,0,0,0,0
000570,6.488,0.15,0,173572411.13333336,0.0,1.7,6.548,6.438,6.478,6.478,1.0,-3.85,6.93,6.93,6.93,7.13,1,0,0,0,0
000408,91.01,2.57,0,1230350544.0000002,0.0,4.58,91.29,87.23,88.1,88.73,1.0,3.08,90.97,90.97,95.78,97.6,0,0,0,0,0
000534,40.7,4.41,0,901688256.0,0.0,9.54,41.99,38.27,38.99,38.98,1.0,-4.66,46.6,46.3,49.14,42.88,0,0,0,0,0
