代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000066,14.9,-0.53,0,977343360.0,0.0,3.07,15.18,14.72,14.8,14.98,1.0,0.34,17.6,16.47,19.6,16.48,0,0,0,0,0
000301,11.2,-2.18,0,208439246.6666667,0.0,1.83,11.4,11.19,11.39,11.45,1.0,2.85,12.24,11.57,14.7,12.6,0,0,0,0,0
000060,6.3,-2.17,0,443090093.0,0.0,2.02,6.38,6.25,6.32,6.44,1.0,1.12,7.57,6.44,9.22,7.08,0,0,0,0,0
000155,17.17,3.25,0,2365201019.6666665,0.0,12.99,18.2,16.04,16.65,16.63,1.0,11.28,17.7,17.7,17.7,18.29,1,0,0,0,0
000027,6.64,-2.06,0,225101393.00000003,0.0,1.62,6.73,6.62,6.72,6.78,1.0,-3.77,8.48,8.48,8.48,7.46,0,0,0,0,0
000070,20.88,10.01,1,3715627924.666667,0.0,14.65,20.88,18.1,18.67,18.98,1.0,13.17,20.3,20.3,20.3,20.88,1,0,1,1,0
000021,27.48,-0.47,0,1893241170.6666667,0.0,3.66,27.86,26.85,26.98,27.61,1.0,3.89,33.57,30.16,35.75,30.37,0,0,0,0,0
000063,35.56,4.47,0,6431330500.0,0.0,6.93,35.9,33.54,33.7,34.04,1.0,7.79,38.1,34.05,47.77,37.44,0,0,0,0,0
000009,8.67,-2.03,0,157385316.0,0.0,1.81,8.79,8.63,8.79,8.85,1.0,-1.7,9.69,9.14,11.9,9.74,0,0,0,0,0
000408,82.584,-0.51,0,750737866.0000001,0.0,2.11,83.754,82.004,82.504,83.004,1.0,2.35,83.43,83.43,95.78,91.3,0,0,0,0,0
000333,76.52,-0.27,0,1797463552.0,0.0,1.46,77.02,75.9,76.4,76.73,1.0,-0.42,77.84,77.84,83.17,84.4,0,0,0,0,0
000533,14.54,-0.14,0,835911582.0,0.0,3.71,14.67,14.13,14.32,14.56,1.0,-1.09,21.84,17.99,21.84,16.02,0,0,0,0,0
000534,41.53,5.59,0,1739261629.0000002,0.0,7.58,42.36,39.38,40.5,39.33,1.0,6.54,47.62,42.9,49.14,43.26,1,1,0,0,0
000510,15.36,-1.66,0,685816511.3333334,0.0,6.4,15.85,14.85,15.32,15.62,1.0,2.26,20.22,15.73,23.5,17.18,0,0,0,0,0
000539,5.41,-2.87,0,364255803.0,0.0,2.15,5.5,5.38,5.5,5.57,1.0,-7.52,8.14,8.14,8.14,6.13,1,0,0,0,0
000426,43.56,0.0,0,3445594026.0,0.0,3.1,44.25,42.9,43.15,43.56,1.0,4.84,52.0,43.56,74.8,47.92,1,1,0,0,0
000338,25.98,2.28,0,3524123536.0,0.0,5.43,26.28,24.9,25.0,25.4,1.0,2.69,27.82,26.0,30.19,27.94,0,0,0,0,0
000603,40.98,-2.34,0,742683475.3333333,0.0,3.12,41.31,40.0,40.19,41.96,1.0,2.89,48.54,42.37,73.47,46.16,0,0,0,0,0
000630,6.05,-1.47,0,1447500306.6666667,0.0,1.79,6.11,6.0,6.04,6.14,1.0,2.02,7.34,6.15,9.14,6.75,0,0,0,0,0
000636,19.73,-0.5,0,888990865.3333334,0.0,2.67,20.03,19.5,19.65,19.83,1.0,1.08,24.44,20.65,27.5,21.81,0,0,0,0,0
000570,5.598,-0.89,0,54251791.99999999,0.0,1.59,5.658,5.568,5.608,5.648,1.0,-1.41,6.32,5.91,6.43,6.21,0,0,0,0,0
000657,49.15,-0.61,0,2569061242.0,0.0,4.39,50.1,47.93,48.42,49.45,1.0,0.57,69.2,51.78,71.5,54.4,0,0,0,0,0
000665,4.78,-2.45,0,58945595.33333335,0.0,2.86,4.89,4.75,4.89,4.9,1.0,-3.63,5.45,5.09,7.21,5.39,0,0,0,0,0
000551,13.94,0.0,0,368397282.0,0.0,2.65,14.17,13.8,14.12,13.94,1.0,3.64,14.88,13.94,18.35,15.33,1,1,0,0,0
